序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,002792,通宇通讯,45.34,10.0,4.12,633301,28.56 亿,8.15,45.34,41.98,42.01,41.22,18.75,704.78,8.54,F5G概念
2,600487,亨通光电,58.05,8.73,4.66,1698326,98.07 亿,8.84,58.73,54.01,54.45,53.39,6.95,45.2,4.65,F5G概念
3,002281,光迅科技,90.39,7.74,6.49,840587,75.37 亿,8.28,91.95,85.0,85.02,83.9,10.78,76.06,7.46,F5G概念
4,603220,中贝通信,26.25,6.28,1.55,545028,14.12 亿,9.03,27.0,24.77,25.15,24.7,12.55,124.17,5.73,F5G概念
5,300548,长芯博创,165.18,4.62,7.3,285764,47.63 亿,7.89,172.6,160.14,161.3,157.88,10.61,143.83,24.52,F5G概念
6,300308,中际旭创,606.52,4.21,24.52,290271,176.95 亿,5.27,625.0,594.35,600.0,582.0,2.63,62.42,22.64,F5G概念
7,688313,仕佳光子,96.4,3.88,3.6,470951,45.59 亿,6.39,99.85,93.92,95.9,92.8,10.42,127.53,28.69,F5G概念
8,000988,华工科技,103.54,3.19,3.2,685146,71.33 亿,4.17,105.84,101.66,102.4,100.34,6.82,70.78,9.42,F5G概念
9,600498,烽火通信,49.16,2.8,1.34,1163345,57.92 亿,4.54,50.8,48.63,48.81,47.82,9.15,97.67,4.19,F5G概念
10,300252,金信诺,13.36,2.14,0.28,287450,3.85 亿,3.29,13.61,13.18,13.22,13.08,5.14,840.84,4.05,F5G概念
11,301191,菲菱科思,137.92,2.08,2.81,63390,8.78 亿,5.8,141.89,134.05,136.22,135.11,12.14,153.6,5.75,F5G概念
12,603118,共进股份,13.25,1.45,0.19,532281,6.99 亿,3.98,13.36,12.84,13.32,13.06,6.76,90.67,2.07,F5G概念
13,002396,星网锐捷,25.91,0.93,0.24,124569,3.24 亿,2.42,26.26,25.64,25.88,25.67,2.14,37.12,2.18,F5G概念
14,603083,剑桥科技,102.99,0.74,0.76,201233,20.92 亿,3.09,105.35,102.19,103.59,102.23,7.3,137.84,4.88,F5G概念
15,603890,春秋电子,13.78,0.51,0.07,75807,1.05 亿,3.43,14.14,13.67,13.79,13.71,1.7,19.99,2.02,F5G概念
