序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688195,腾景科技,338.93,19.22,54.65,111914,36.40 亿,14.42,340.14,299.15,299.85,284.28,8.65,621.02,44.36,激光雷达
2,688079,美迪凯,13.69,11.48,1.41,214745,2.91 亿,15.55,14.11,12.2,12.2,12.28,5.31,-35.98,4.41,激光雷达
3,300620,光库科技,222.96,11.44,22.89,243933,53.64 亿,12.45,229.9,205.0,205.0,200.07,9.87,314.46,25.6,激光雷达
4,300747,锐科激光,29.85,10.84,2.92,395728,11.50 亿,14.52,30.65,26.74,27.05,26.93,7.77,100.75,4.9,激光雷达
5,002222,福晶科技,75.46,10.0,6.86,488590,36.09 亿,7.52,75.46,70.3,70.31,68.6,10.44,135.3,20.34,激光雷达
6,688170,德龙激光,52.33,8.39,4.05,110998,5.74 亿,11.02,53.67,48.35,49.0,48.28,10.74,214.7,4.3,激光雷达
7,002281,光迅科技,90.39,7.74,6.49,840587,75.37 亿,8.28,91.95,85.0,85.02,83.9,10.78,76.06,7.46,激光雷达
8,300790,宇瞳光学,25.08,6.86,1.61,253597,6.28 亿,10.01,25.78,23.43,23.45,23.47,7.81,37.44,3.62,激光雷达
9,301183,东田微,170.4,6.42,10.28,116772,19.66 亿,8.75,174.6,160.59,162.98,160.12,19.89,127.87,14.61,激光雷达
10,603220,中贝通信,26.25,6.28,1.55,545028,14.12 亿,9.03,27.0,24.77,25.15,24.7,12.55,124.17,5.73,激光雷达
11,688167,炬光科技,391.14,4.4,16.5,70691,28.54 亿,7.35,418.13,390.61,395.0,374.64,7.87,-844.05,15.79,激光雷达
12,603297,永新光学,104.99,3.96,4.0,16541,1.72 亿,6.38,107.26,100.82,101.17,100.99,1.49,57.83,5.83,激光雷达
13,688313,仕佳光子,96.4,3.88,3.6,470951,45.59 亿,6.39,99.85,93.92,95.9,92.8,10.42,127.53,28.69,激光雷达
14,300456,赛微电子,48.7,2.48,1.18,719658,35.42 亿,5.05,50.4,48.0,48.14,47.52,12.05,24.2,5.3,激光雷达
15,600699,均胜电子,25.74,2.02,0.51,426418,10.93 亿,3.77,26.08,25.13,25.33,25.23,3.15,29.88,2.3,激光雷达
