序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,津药药业,600488,6.0,6天6板,9.936908721923828,6.97,6.52 亿,76.10 亿,76.10 亿,8.585705757141113,184504264.0,093024,093024,0,化学制药,,,
5,通宇通讯,002792,1.0,首板,9.995148658752441,45.34,28.56 亿,153.17 亿,237.51 亿,18.7464542388916,175335719.0,093124,095106,4,通信设备,,,
17,德科立,688205,1.0,首板,19.9990291595459,247.21,38.94 亿,391.30 亿,391.30 亿,10.223729133605957,29518357.0,101754,143118,9,通信设备,,,
19,福晶科技,002222,1.0,首板,10.0,75.46,36.09 亿,353.27 亿,354.85 亿,10.436579704284668,35432318.0,102948,130524,3,光学光电,,,
22,中瓷电子,003031,1.0,首板,9.997515678405762,88.57,16.32 亿,301.28 亿,399.50 亿,5.557224273681641,82863789.0,103442,131018,1,通信设备,,,
3,通达股份,002560,0.0,4天3板,-3.369065761566162,12.62,27.40 亿,57.16 亿,66.35 亿,45.72991180419922,,093012,,1,电网设备,14.37,-0.23715414106845856,14.395099639892578
5,新中港,605162,0.0,4天3板,-8.967971801757812,12.79,9.20 亿,51.24 亿,51.24 亿,16.277788162231445,,093141,,1,电力,15.46,-0.15612801909446716,19.501779556274414
7,星辉环材,300834,0.0,4天3板,7.426995277404785,46.72,17.82 亿,89.90 亿,90.50 亿,18.801095962524414,,094654,,3,塑料,52.19,0.0,16.532535552978516
8,亨通光电,600487,0.0,0天0板,8.728226661682129,58.05,98.07 亿,1419.43 亿,1431.74 亿,6.945605754852295,,103411,,2,通信设备,58.73,0.01722949743270874,8.840606689453125
11,云南锗业,002428,0.0,0天0板,8.863158226013184,51.71,55.69 亿,337.68 亿,337.73 亿,16.644882202148438,,134339,,1,小金属,52.25,0.23260322213172913,6.715789318084717
