序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3889.4449,7.437,0.192,3882.0079,3863.3695,3896.206,3850.8628,464117264.0,858874228922,8588.74亿
2,sz399001,深证成指,13745.869,-48.42,-0.351,13794.289,13683.905,13848.404,13568.507,57977958247.0,972970230987,9729.70亿
3,Total,沪深总成交额,,,,,,,,,1831844459909,18318.44亿
