序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,吉鑫科技,601218,2天1板,0.7722007632255554,5.22,5.7,13.09亿,50.58亿,50.58亿,24.44423484802246,0.0,092502,1,9.45945930480957,风电设备
2,天顺风能,002531,2天1板,0.12804096937179565,7.82,8.59,22.15亿,139.73亿,140.52亿,15.206243515014648,0.0,093042,1,9.98719596862793,风电设备
3,远翔新材,301300,0天0板,13.731622695922852,36.36,38.36,1.22亿,14.21亿,23.79亿,8.59976577758789,0.0,093139,1,17.86049461364746,橡胶
4,拓日新能,002218,0天0板,5.741626739501953,4.42,4.6,9.85亿,61.34亿,62.25亿,15.904111862182617,0.0,094112,1,10.287081718444824,电力
5,福晶科技,002222,0天0板,8.083831787109375,68.59,69.81,24.33亿,321.11亿,322.54亿,7.688235282897949,0.0,110706,1,10.526315689086914,光学光电
6,夏厦精密,001306,0天0板,3.690178632736206,53.95,57.23,1.02亿,8.36亿,33.95亿,12.072903633117676,0.0,130727,1,11.800884246826172,通用设备
7,华立股份,603038,0天0板,8.147174835205078,16.46,16.74,2.08亿,44.22亿,44.22亿,4.7586565017700195,0.0,131243,1,10.118265151977539,装修建材
8,双枪科技,001211,0天0板,8.508732795715332,24.23,24.56,1.68亿,22.62亿,24.23亿,7.541831970214844,0.0,133736,1,10.92700481414795,家居用品
9,运机集团,001288,0天0板,8.495574951171875,30.65,31.08,2.79亿,46.55亿,71.65亿,6.0930657386779785,0.0,134039,2,12.17699146270752,专用设备
10,太极实业,600667,0天0板,6.980433464050293,20.23,20.8,70.51亿,423.12亿,423.12亿,16.986909866333008,0.0,134400,1,10.735060691833496,工程咨询
11,海鸥股份,603269,0天0板,7.592281818389893,25.65,26.22,9.85亿,110.79亿,110.79亿,9.166970252990723,0.0,145425,1,12.080536842346191,通用设备
