序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300750,宁德时代,305.48,-3.439,239.80亿
2,sz300308,中际旭创,907.8,5.068,214.71亿
3,sz300502,新易盛,423.69,6.72,159.06亿
4,sh688256,寒武纪,1136.01,5.598,149.67亿
5,sh600176,中国巨石,47.39,0.637,127.76亿
6,sh688825,长鑫科技,55.1,1.623,116.69亿
7,sz002384,东山精密,192.0,5.021,116.40亿
8,sz300394,天孚通信,268.99,4.511,114.99亿
9,sh600487,亨通光电,65.4,4.774,106.02亿
10,sh603986,兆易创新,373.14,2.762,99.16亿
11,sh600183,生益科技,154.48,2.815,98.72亿
12,sh600522,中天科技,35.19,1.911,89.56亿
13,sz000636,风华高科,58.58,1.861,82.23亿
14,sh688012,中微公司,352.6,6.655,74.77亿
15,sz002281,光迅科技,185.21,10.002,74.05亿
16,sh600667,太极实业,20.23,6.98,70.51亿
17,sh603186,华正新材,253.99,0.962,68.69亿
18,sh688008,澜起科技,199.89,6.421,68.29亿
19,sz002491,通鼎互联,24.45,9.987,67.19亿
20,sh600105,永鼎股份,45.22,9.998,66.08亿
