排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日打二板以上表现,BK1645,1392.23,126.6,10.0,275.31 亿,14.64,2,0,华电辽能,10.03
2,昨日涨停_含一字,BK1050,29304.4,1258.1,4.49,14710.66 亿,30.41,85,13,新能泰山,9.9
3,昨日涨停,BK0815,47942.33,2050.64,4.47,14447.63 亿,28.9,82,12,湖南发展,9.99
4,昨日首板,BK1630,1487.22,61.55,4.32,11730.10 亿,28.28,64,8,新能泰山,9.9
5,F5G概念,BK1088,4247.96,174.65,4.29,14919.96 亿,2.66,22,3,铭普光磁,10.0
