序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300502,新易盛,476.2,1.752,218.47 亿
2,sz300308,中际旭创,628.4,4.179,210.48 亿
3,sh601899,紫金矿业,33.24,3.23,137.81 亿
4,sh688525,佰维存储,253.35,9.438,131.92 亿
5,sz002475,立讯精密,50.97,9.991,130.44 亿
6,sz300394,天孚通信,318.1,6.491,122.39 亿
7,sz000988,华工科技,115.74,3.339,119.68 亿
8,sz300274,阳光电源,167.08,1.457,114.16 亿
9,sz300750,宁德时代,397.81,0.207,105.54 亿
10,sh688256,寒武纪,1039.0,1.021,93.59 亿
11,sz002384,东山精密,108.21,0.642,90.32 亿
12,sh600487,亨通光电,48.17,8.564,85.19 亿
13,sh600821,金开新能,11.25,1.626,79.56 亿
14,sh603986,兆易创新,278.4,1.713,79.48 亿
15,sz300383,光环新网,18.23,17.765,78.77 亿
16,sz002463,沪电股份,82.52,0.279,75.78 亿
17,sz001309,德明利,375.17,7.305,74.13 亿
18,sz002594,比亚迪,106.6,-0.038,70.61 亿
19,sh600930,华电新能,7.42,3.199,69.86 亿
20,sh601868,中国能建,3.34,1.829,69.79 亿
