序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000020,深华发A,17.68,-24.03,12162.7781,239128.1669,连续三个交易日内，跌幅偏离值累计达20%的证券
2,603358,华达科技,32.64,-22.12,1820.0455,65257.69,连续三个交易日内，跌幅偏离值累计达20%的证券
3,000968,蓝焰控股,9.94,-7.11,9673.5715,95521.4741,跌幅偏离值达7%的证券
4,002843,泰嘉股份,21.28,-7.17,3441.827,73922.3769,跌幅偏离值达7%的证券
5,002932,明德生物,16.34,-7.34,1255.1654,20798.5228,跌幅偏离值达7%的证券
6,600590,泰豪科技,13.8,-10.03,17569.203,258986.19,跌幅偏离值达7%的证券
7,603949,雪龙集团,18.17,-10.09,2750.643,52367.23,跌幅偏离值达7%的证券
8,000592,平潭发展,11.17,8.04,29812.9456,317090.8418,涨幅偏离值达7%的证券
9,000601,韶能股份,8.87,8.04,23353.9412,204346.775,涨幅偏离值达7%的证券
10,002192,融捷股份,64.46,8.04,3816.3313,244753.093,涨幅偏离值达7%的证券
11,002309,中利集团,5.07,8.04,109742.3417,536892.9441,涨幅偏离值达7%的证券
12,002475,立讯精密,50.97,8.04,26088.6146,1304388.0637,涨幅偏离值达7%的证券
13,600163,中闽能源,7.54,8.77,9073.324,66260.41,涨幅偏离值达7%的证券
14,600433,冠豪高新,3.7,8.81,8319.3648,29967.42,涨幅偏离值达7%的证券
15,600780,通宝能源,7.68,8.72,10947.7057,81930.9,涨幅偏离值达7%的证券
16,600982,宁波能源,6.9,8.74,25015.7934,167773.2,涨幅偏离值达7%的证券
17,603808,歌力思,10.42,8.73,2358.9042,24206.06,涨幅偏离值达7%的证券
18,900939,汇丽B,0.59,7.19,211.8713,121.5,涨幅偏离值达7%的证券
19,000815,美利云,21.29,33.55,23323.1383,501537.4513,换手率达20%的证券
20,000862,银星能源,8.84,28.1,17646.968,158637.3533,换手率达20%的证券
21,002218,拓日新能,7.3,34.04,47399.7202,351285.7873,换手率达20%的证券
22,002565,顺灏股份,16.22,29.51,31281.7186,519112.677,换手率达20%的证券
23,600821,金开新能,11.25,35.11,70129.9924,795552.51,换手率达20%的证券
24,600930,华电新能,7.42,28.97,93581.0063,698614.39,换手率达20%的证券
25,601218,吉鑫科技,8.1,27.91,27041.9487,209712.45,换手率达20%的证券
26,603248,锡华科技,28.2,33.57,2326.7042,65798.71,换手率达20%的证券
27,603803,瑞斯康达,15.4,32.43,13779.0613,209230.8,换手率达20%的证券
28,920028,新恒泰,18.13,32.97,1403.2134,25734.94,换手率达20%的证券
29,920036,觅睿科技,50.46,29.55,385.9801,18988.32,换手率达20%的证券
30,920078,族兴新材,26.17,36.73,760.3854,20206.77,换手率达20%的证券
31,920088,科力股份,65.69,26.17,839.2362,54480.69,换手率达20%的证券
32,920641,格利尔,22.23,23.41,1063.5442,23389.17,换手率达20%的证券
33,000856,冀东装备,11.81,16.19,5406.5123,61883.2001,振幅值达15%的证券
34,001258,立新能源,11.79,15.67,14794.1351,168089.2181,振幅值达15%的证券
35,002310,东方新能,3.8,15.58,90090.1256,343345.5949,振幅值达15%的证券
36,600121,郑州煤电,5.52,15.91,20647.0561,109416.7,振幅值达15%的证券
37,600726,华电能源,6.15,16.04,46200.6465,273512.73,振幅值达15%的证券
38,600666,奥瑞德,5.28,20.91,90934.4891,415573.37,连续三个交易日内，涨幅偏离值累计达20%的证券
39,601016,节能风电,5.4,21.99,262809.1396,1260012.22,连续三个交易日内，涨幅偏离值累计达20%的证券
40,603272,联翔股份,26.71,23.16,2785.6634,70191.22,连续三个交易日内，涨幅偏离值累计达20%的证券
41,300040,九洲集团,8.84,36.63,19060.7801,169815.0828,
42,300335,迪森股份,8.69,40.08,15397.1273,133879.1348,
43,301357,北方长龙,127.99,35.42,842.9145,101651.5638,
44,301658,首航新能,61.1,53.79,2218.2504,131939.4792,
45,301667,纳百川,100.0,38.17,858.6604,85572.8348,
46,300069,金利华电,21.83,20.0,2382.2937,48953.992,
47,300245,天玑科技,13.37,20.0,3875.1547,49096.9068,
48,300658,延江股份,27.78,20.0,2358.315,62469.2314,
49,301196,唯科科技,110.16,20.0,1182.824,120137.3309,
50,301419,阿莱德,43.79,20.0,777.6037,33315.1404,
51,300131,英唐智控,11.01,-16.72,25713.3539,318608.8917,
52,301040,中环海陆,34.3,-15.1,1827.7048,67673.8262,
53,300391,长药退,0.41,0.0,5448.7379,2310.5262,退市整理的证券
54,301682,宏明电子,128.65,0.0,1967.3844,266317.7298,无价格涨跌幅限制的证券
