序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh688008,澜起科技,262.17,1.893,306.55 亿
2,sh603986,兆易创新,431.9,-2.948,281.99 亿
3,sz300308,中际旭创,993.34,-4.21,243.95 亿
4,sh600584,长电科技,66.84,0.936,213.24 亿
5,sh688981,中芯国际,127.22,-4.925,206.02 亿
6,sh688256,寒武纪,1290.9,-5.249,205.30 亿
7,sz002281,光迅科技,217.3,-8.08,199.59 亿
8,sz002384,东山精密,206.97,-7.188,193.85 亿
9,sz000988,华工科技,153.96,-5.789,193.22 亿
10,sz300502,新易盛,566.0,-3.737,192.60 亿
11,sz300274,阳光电源,165.38,-1.089,191.79 亿
12,sh688012,中微公司,475.8,-2.963,182.42 亿
13,sh688041,海光信息,307.0,-3.075,167.69 亿
14,sz002050,三花智控,52.83,4.51,162.31 亿
15,sz300476,胜宏科技,331.4,-0.838,161.57 亿
16,sz002371,北方华创,662.99,1.066,159.90 亿
17,sz002156,通富微电,61.76,-0.835,153.66 亿
18,sz300059,东方财富,19.98,1.576,148.43 亿
19,sz300394,天孚通信,337.21,-6.067,147.59 亿
20,sz300750,宁德时代,411.63,-0.752,142.39 亿
