序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,威龙股份,603779,7,10天8板,10.0,14.52,20.38 亿,48.22 亿,48.22 亿,42.62981414794922,41460771,092502,145512,2,非白酒
2,诚邦股份,603316,4,12天6板,10.012110710144043,27.25,21.31 亿,72.01 亿,72.01 亿,30.803876876831055,7304362,110608,145658,3,基础建设
3,大众交通,600611,2,2天2板,10.079051971435547,5.57,8.32 亿,87.08 亿,131.68 亿,9.773138999938965,121075078,093842,093951,1,铁路公路
4,金利华电,300069,2,2天2板,19.989105224609375,44.06,2283.63 万,51.55 亿,51.55 亿,0.4429914653301239,385498564,092500,092500,0,电网设备
5,龙星科技,002442,2,2天2板,10.0,7.37,9.88 亿,36.31 亿,37.09 亿,27.96038055419922,8837175,093854,143936,7,橡胶
6,四环生物,000518,2,2天2板,9.970674514770508,3.75,6.65 亿,38.61 亿,38.61 亿,17.910404205322266,66580425,093257,145018,1,生物制品
7,京东方Ａ,000725,1,首板,10.093896865844727,4.69,48.59 亿,1704.42 亿,1737.38 亿,2.850749969482422,2219802363,092500,092500,0,光学光电
8,亚世光电,002952,1,首板,10.003732681274414,29.47,4.11 亿,38.80 亿,48.43 亿,10.64762020111084,23109961,093033,093427,3,光学光电
9,纬达光电,920001,1,首板,29.973649978637695,19.73,4.32 亿,17.50 亿,30.32 亿,24.937862396240234,5831398,093015,142603,20,光学光电
10,浙江世宝,002703,1,首板,9.994478225708008,19.92,13.49 亿,116.74 亿,163.87 亿,11.698589324951172,69110448,093503,143721,2,汽车零部
11,曙光股份,600303,1,首板,10.126582145690918,3.48,3.20 亿,23.51 亿,23.79 亿,13.79078483581543,13696236,093705,144405,4,商用车
12,龙腾光电,688055,1,首板,20.04454231262207,5.39,3.99 亿,179.67 亿,179.67 亿,2.242734909057617,9385957,093505,145238,10,光学光电
13,华微电子,600360,1,首板,10.027347564697266,12.07,17.05 亿,115.91 亿,115.91 亿,14.944279670715332,18714390,094109,145630,6,半导体
14,联创电子,002036,1,首板,9.988248825073242,9.36,6.51 亿,98.79 亿,98.99 亿,6.684686660766602,138897298,094112,094406,1,光学光电
15,索菱股份,002766,1,首板,10.064239501953125,5.14,2.90 亿,44.04 亿,44.41 亿,6.673092842102051,32913990,094142,095812,1,汽车零部
16,昂利康,002940,1,首板,10.0,45.65,9.13 亿,84.58 亿,92.09 亿,11.107622146606445,106350805,094324,094957,1,化学制药
17,北投科技,600936,1,3天2板,10.076045989990234,5.79,13.48 亿,96.75 亿,96.75 亿,14.246708869934082,17750582,094601,145546,21,IT服务Ⅱ
18,华映科技,000536,1,首板,10.0,4.29,8.10 亿,118.54 亿,118.66 亿,6.8376970291137695,16020494,093000,144754,4,光学光电
19,广东明珠,600382,1,首板,10.062111854553223,8.86,3.26 亿,61.52 亿,61.52 亿,5.4064788818359375,61064006,094751,094751,0,冶钢原料
20,和泰机电,001225,1,首板,10.006138801574707,53.76,1.05 亿,11.31 亿,35.41 亿,9.402164459228516,9881088,095239,095239,0,专用设备
21,华升股份,600156,1,首板,10.042194366455078,13.04,12.23 亿,52.44 亿,52.44 亿,24.28062629699707,24648208,095444,145505,5,纺织制造
22,南  玻Ａ,000012,1,首板,9.89011001586914,4.0,2.27 亿,78.37 亿,121.70 亿,2.965667963027954,41439556,095415,095415,0,玻璃玻纤
23,直真科技,003007,1,首板,10.0,54.34,5.32 亿,39.44 亿,64.98 亿,13.8593111038208,102642826,100012,100012,0,软件开发
24,豫能控股,001896,1,3天2板,10.01344108581543,16.37,46.81 亿,249.77 亿,249.77 亿,19.064434051513672,49159110,100412,145648,10,电力
25,昭衍新药,603127,1,首板,10.005144119262695,42.77,25.52 亿,269.60 亿,320.50 亿,9.630562782287598,12500345,100424,145415,29,医疗服务
26,德赛西威,002920,1,首板,10.0031099319458,106.12,33.34 亿,633.14 亿,633.33 亿,5.3517045974731445,10803016,095515,145424,8,汽车零部
27,中马传动,603767,1,首板,9.986443519592285,24.34,6.27 亿,75.12 亿,75.12 亿,8.652393341064453,58133656,104019,104019,0,汽车零部
28,锋龙股份,002931,1,首板,10.003664016723633,60.04,10.93 亿,120.83 亿,131.19 亿,9.357952117919922,83575680,105918,112509,1,通用设备
29,京能电力,600578,1,7天5板,9.946236610412598,8.18,41.55 亿,547.62 亿,547.62 亿,8.178206443786621,41831497,130529,144635,3,电力
30,惠威科技,002888,1,4天2板,10.0,25.74,3.93 亿,19.29 亿,38.00 亿,20.905990600585938,213095282,130651,130651,0,消费电子
31,康辰药业,603590,1,首板,10.01402473449707,39.22,4.51 亿,62.06 亿,62.36 亿,7.4170427322387695,29813985,130708,130708,0,生物制品
32,派林生物,000403,1,首板,10.0,11.55,4.24 亿,108.65 亿,109.77 亿,4.024972438812256,38899348,133154,143412,1,生物制品
33,安邦护卫,603373,1,首板,9.993217468261719,48.65,2.56 亿,22.10 亿,52.31 亿,12.070508003234863,62431572,142843,142843,0,专业服务
34,恒林股份,603661,1,首板,10.007440567016602,29.57,1.14 亿,41.12 亿,41.12 亿,2.8539559841156006,41627463,143320,143320,0,家居用品
