序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,890.1,-2.068,154.91亿
2,sz300394,天孚通信,269.0,4.251,138.00亿
3,sz002384,东山精密,193.74,-1.183,109.06亿
4,sh600869,远东股份,24.1,-3.329,101.66亿
5,sz300750,宁德时代,338.06,0.362,98.29亿
6,sh600487,亨通光电,63.91,-4.068,94.47亿
7,sh688825,长鑫科技,57.2,0.58,93.49亿
8,sz300502,新易盛,410.9,-0.94,90.41亿
9,sz000988,华工科技,105.8,-2.748,88.92亿
10,sh600183,生益科技,146.96,-0.81,86.25亿
11,sh600176,中国巨石,43.46,1.851,85.64亿
12,sh603986,兆易创新,380.64,-0.322,82.43亿
13,sh603083,剑桥科技,234.43,7.051,73.87亿
14,sh600150,中国船舶,40.82,3.263,71.45亿
15,sz301526,国际复材,29.42,6.788,60.97亿
16,sh688256,寒武纪,1043.84,-1.054,59.39亿
17,sz002436,兴森科技,39.71,0.659,57.26亿
18,sh603186,华正新材,217.99,2.796,54.13亿
19,sz001309,德明利,418.22,2.09,51.80亿
20,sh601869,长飞光纤,435.74,-1.423,49.68亿
