序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,943.0,4.291,266.86亿
2,sz300502,新易盛,442.0,6.758,207.93亿
3,sh688825,长鑫科技,58.0,0.747,161.08亿
4,sz300394,天孚通信,273.08,-1.148,140.56亿
5,sh603986,兆易创新,409.06,1.378,138.68亿
6,sh688256,寒武纪,1035.0,2.386,124.47亿
7,sz002384,东山精密,201.08,1.725,104.02亿
8,sh601899,XD紫金矿,34.74,2.69,103.39亿
9,sh600487,亨通光电,62.18,0.258,102.64亿
10,sh603259,药明康德,162.86,-3.002,93.85亿
11,sz300285,国瓷材料,67.86,7.851,91.73亿
12,sh600183,生益科技,132.8,5.163,87.23亿
13,sh600176,中国巨石,42.04,1.497,85.94亿
14,sz300142,沃森生物,16.1,6.481,81.79亿
15,sz300750,宁德时代,391.15,1.597,80.14亿
16,sz000725,京东方Ａ,6.0,1.695,77.89亿
17,sz300570,太辰光,214.46,0.497,76.68亿
18,sh600584,长电科技,78.57,-1.145,76.46亿
19,sz002491,通鼎互联,21.2,10.016,72.63亿
20,sz000636,风华高科,54.67,2.976,67.81亿
