序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300502,新易盛,563.7,2.181,318.12 亿
2,sz300308,中际旭创,940.13,6.109,293.99 亿
3,sh688256,寒武纪,1200.0,1.477,275.09 亿
4,sh688008,澜起科技,249.22,18.524,268.86 亿
5,sz300476,胜宏科技,378.24,5.459,233.39 亿
6,sh603986,兆易创新,362.13,8.39,206.74 亿
7,sz002475,立讯精密,76.06,6.691,205.84 亿
8,sz002384,东山精密,218.3,3.269,193.64 亿
9,sh688041,海光信息,349.18,8.012,186.42 亿
10,sh600522,中天科技,43.86,7.237,182.94 亿
11,sh600487,亨通光电,74.99,-2.951,180.66 亿
12,sh601138,工业富联,65.85,4.061,176.46 亿
13,sh688525,佰维存储,315.69,8.69,165.79 亿
14,sz000988,华工科技,147.56,7.952,153.02 亿
15,sz300394,天孚通信,331.92,1.722,152.71 亿
16,sz300750,宁德时代,446.11,2.085,151.98 亿
17,sz002281,光迅科技,198.79,9.999,147.66 亿
18,sz301308,江波龙,556.66,15.973,145.99 亿
19,sz000066,中国长城,23.4,1.343,136.97 亿
20,sz300475,香农芯创,193.58,6.938,132.89 亿
