序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1197.99,7.794,329.12 亿
2,sh603986,兆易创新,483.0,-6.064,302.40 亿
3,sh601138,工业富联,75.0,7.021,264.38 亿
4,sh688981,中芯国际,153.7,5.116,248.22 亿
5,sz300502,新易盛,718.34,3.358,237.98 亿
6,sh600584,长电科技,84.74,-1.648,229.50 亿
7,sz300394,天孚通信,447.56,4.421,209.92 亿
8,sz002185,华天科技,21.49,6.65,193.75 亿
9,sz000725,京东方Ａ,5.68,-0.699,185.29 亿
10,sh688256,寒武纪,1391.5,3.843,174.73 亿
11,sz300476,胜宏科技,375.3,-1.055,173.70 亿
12,sz002384,东山精密,219.0,-1.956,168.31 亿
13,sh688008,澜起科技,260.98,-1.702,161.27 亿
14,sz300274,阳光电源,190.09,3.259,155.44 亿
15,sz002281,光迅科技,214.9,6.019,141.42 亿
16,sz002156,通富微电,69.3,-2.996,135.70 亿
17,sh600183,生益科技,135.64,2.945,135.27 亿
18,sz300750,宁德时代,415.68,0.212,135.02 亿
19,sz000988,华工科技,165.63,3.596,132.87 亿
20,sz300408,三环集团,132.11,7.415,128.51 亿
