序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,601890,亚星锚链,12.39,10.04,1.13,819019,991289357.0,8.7,12.39,11.41,11.41,11.26,8.54,42.19,3.21,船舶制造
2,300589,江龙船艇,21.58,8.17,1.63,795637,1718728311.45,10.63,22.58,20.46,20.5,19.95,34.35,-165.85,10.37,船舶制造
3,300065,海兰信,28.81,6.9,1.86,1924182,5590528935.1,12.73,30.5,27.07,27.07,26.95,29.29,391.64,11.82,船舶制造
4,603268,*ST松发,100.1,5.0,4.77,63328,624904700.0,6.51,100.1,93.89,96.25,95.33,5.1,57.33,12.04,船舶制造
5,300008,天海防务,9.21,3.25,0.29,2890354,2677025015.72,6.61,9.55,8.96,8.97,8.92,17.55,51.54,6.81,船舶制造
6,300600,国瑞科技,14.55,1.96,0.28,87117,127795968.0,4.48,14.87,14.23,14.23,14.27,2.96,-84.54,3.51,船舶制造
7,600685,中船防务,35.99,1.35,0.48,345281,1251275048.0,4.79,37.1,35.4,35.4,35.51,4.2,58.24,2.83,船舶制造
8,300123,亚光科技,7.21,0.84,0.06,435447,316278277.65,3.36,7.35,7.11,7.12,7.15,4.35,-55.88,5.01,船舶制造
9,600150,中国船舶,36.35,0.8,0.29,1259759,4587609727.0,2.44,36.75,35.87,35.9,36.06,1.67,35.06,1.94,船舶制造
10,600482,中国动力,31.26,-1.73,-0.55,442737,1386784740.0,3.08,31.77,30.79,31.6,31.81,1.96,43.75,1.75,船舶制造
