排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,船舶制造,BK0729,1478.84,52.21,3.66,560439168000,5.84,9,1,亚星锚链,10.04
2,航天航空,BK0480,68990.82,1490.54,2.21,1513633120000,3.22,34,11,安达维尔,19.99
3,通用航空,BK0625,7026.88,91.66,1.32,1272404112000,1.71,17,19,天汽模,9.96
4,数字水印,BK1129,1275.15,16.02,1.27,136153852000,7.94,10,7,汉邦高科,20.0
5,全息技术,BK0699,3340.1,34.64,1.05,234181304000,2.99,6,5,风语筑,9.98
