序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4082.0726,-51.945,-1.257,4134.0178,4115.9243,4123.8443,4079.7702,500799472.0,846808337462,8468.08 亿
2,sz399001,深证成指,14100.189,-182.809,-1.28,14282.998,14188.347,14258.826,14092.84,64063961614.0,1135871601132,11358.72 亿
3,Total,沪深总成交额,,,,,,,,,1982679938594,19826.80 亿
