序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300719,安达维尔,20.89,19.99,3.48,574278,11.46 亿,20.05,20.89,17.4,17.58,17.41,31.97,7023.63,5.12,航天航空
2,600893,航发动力,57.17,10.01,5.2,1004186,55.30 亿,10.53,57.17,51.7,51.88,51.97,3.77,1058.65,3.83,航天航空
3,688586,江航装备,16.55,8.31,1.27,342697,5.63 亿,14.33,17.31,15.12,15.16,15.28,4.33,231.7,5.31,航天航空
4,688563,航材股份,76.3,7.92,5.6,135706,10.37 亿,11.8,78.88,70.54,70.54,70.7,11.6,64.36,3.29,航天航空
5,000738,航发控制,29.45,7.44,2.04,1090928,31.70 亿,10.4,30.15,27.3,27.42,27.41,8.29,72.45,3.09,航天航空
6,688510,航亚科技,44.28,7.19,2.97,180752,7.70 亿,10.05,44.35,40.2,41.21,41.31,6.96,110.68,9.6,航天航空
7,300424,航新科技,19.4,6.59,1.2,278800,5.36 亿,7.75,19.58,18.17,18.2,18.2,11.37,202.62,6.26,航天航空
8,688239,航宇科技,77.34,4.8,3.54,110660,8.50 亿,9.72,79.89,72.72,72.9,73.8,5.8,75.8,7.49,航天航空
9,002297,博云新材,13.16,4.44,0.56,780890,10.19 亿,5.95,13.28,12.53,12.65,12.6,13.63,188.32,3.58,航天航空
10,002933,新兴装备,37.13,4.15,1.48,67742,2.50 亿,5.44,37.39,35.45,35.65,35.65,5.94,112.23,2.85,航天航空
11,302132,中航成飞,79.46,3.71,2.84,174658,13.81 亿,4.62,80.5,76.96,76.96,76.62,2.98,73.41,10.65,航天航空
12,600391,航发科技,51.41,3.42,1.7,273092,13.98 亿,7.64,52.8,49.0,49.88,49.71,8.27,434.15,9.67,航天航空
13,600862,中航高科,26.92,2.83,0.74,539583,14.44 亿,3.9,27.26,26.24,26.3,26.18,3.87,34.88,5.03,航天航空
14,300581,晨曦航空,15.85,2.59,0.4,145365,2.31 亿,3.69,16.04,15.47,15.51,15.45,2.64,-149.37,9.13,航天航空
15,600372,中航机载,16.06,2.55,0.4,1240632,19.87 亿,5.3,16.3,15.47,15.53,15.66,2.56,58.89,2.03,航天航空
