序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,300251,光线传媒,27.22,15.39,109.75,BK0089,影视院线,影视项目的投资、制作、发行。,1
2,600589,大位科技,13.19,-4.83,103.67,BK0086,IT服务,互联网数据中心与算力服务。,2
3,000021,深科技,32.29,10.02,76.83,BK0024,消费电子,存储半导体、高端制造、计量智能终端业务。,1
4,300182,捷成股份,8.0,-10.61,71.16,BK0089,影视院线,新媒体版权运营及发行。,2
