序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,612.0,-7.76,593.81亿
2,sz300308,中际旭创,1093.98,-8.446,490.28亿
3,sh600584,长电科技,101.11,-2.328,332.13亿
4,sz002384,东山精密,242.3,-7.278,310.97亿
5,sz000725,京东方Ａ,7.59,-6.871,302.77亿
6,sz300502,新易盛,523.05,-4.115,280.31亿
7,sz000977,浪潮信息,89.52,4.105,260.83亿
8,sh688008,澜起科技,268.06,-6.207,237.14亿
9,sh600487,亨通光电,77.79,-2.835,213.20亿
10,sh688256,寒武纪,1400.0,-8.795,199.02亿
11,sz300750,宁德时代,348.76,-7.121,198.68亿
12,sh688041,海光信息,353.0,-2.878,192.82亿
13,sh688981,中芯国际,163.02,-5.769,192.17亿
14,sz000063,中兴通讯,40.53,0.496,186.34亿
15,sz000938,紫光股份,38.41,7.651,185.73亿
16,sz000021,深科技,57.91,2.969,183.70亿
17,sz300394,天孚通信,271.12,-0.14,182.91亿
18,sh688012,中微公司,434.51,-7.863,177.98亿
19,sh603019,中科曙光,107.5,3.375,174.09亿
20,sz002371,北方华创,801.0,-8.815,167.11亿
