序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300502,新易盛,526.0,-4.549,356.10 亿
2,sz300308,中际旭创,1124.0,-2.005,345.59 亿
3,sh600487,亨通光电,102.4,-4.192,231.07 亿
4,sz000725,京东方Ａ,5.83,-3.317,194.36 亿
5,sh600522,中天科技,49.27,-1.853,143.63 亿
6,sh600498,烽火通信,60.99,9.497,142.59 亿
7,sh603986,兆易创新,483.5,0.553,142.11 亿
8,sz002384,东山精密,210.99,-0.603,139.84 亿
9,sz300394,天孚通信,412.3,0.297,137.79 亿
10,sh688256,寒武纪,1219.5,-0.934,136.32 亿
11,sh600183,生益科技,149.73,1.926,125.28 亿
12,sz000636,风华高科,64.3,7.507,116.94 亿
13,sh688041,海光信息,289.84,1.77,116.36 亿
14,sz002428,云南锗业,88.24,9.998,112.82 亿
15,sh601138,工业富联,69.52,-2.263,103.44 亿
16,sz300750,宁德时代,382.2,-1.622,103.02 亿
17,sz000657,中钨高新,77.95,6.927,102.58 亿
18,sz002463,沪电股份,126.91,-2.825,99.05 亿
19,sh688008,澜起科技,228.7,-0.996,98.58 亿
20,sh688525,佰维存储,324.27,2.293,95.77 亿
