序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh688981,中芯国际,156.0,18.785,372.54 亿
2,sz300502,新易盛,659.01,8.61,301.25 亿
3,sh603986,兆易创新,515.6,9.997,293.88 亿
4,sz300476,胜宏科技,383.5,2.13,275.43 亿
5,sz300308,中际旭创,1093.0,5.301,266.33 亿
6,sh688008,澜起科技,284.08,4.506,244.33 亿
7,sh688256,寒武纪,1406.5,9.37,240.28 亿
8,sz000725,京东方Ａ,5.27,2.132,224.99 亿
9,sh600584,长电科技,80.17,10.003,210.49 亿
10,sz300394,天孚通信,396.75,6.51,201.05 亿
11,sz002384,东山精密,226.24,2.58,186.17 亿
12,sh601138,工业富联,70.3,4.675,184.56 亿
13,sz000988,华工科技,171.94,9.999,178.98 亿
14,sh688012,中微公司,485.3,3.343,169.43 亿
15,sh688041,海光信息,329.68,5.531,166.20 亿
16,sz002281,光迅科技,223.98,3.757,159.80 亿
17,sz002475,立讯精密,74.7,3.177,158.36 亿
18,sz300750,宁德时代,402.88,-2.014,154.79 亿
19,sz002156,通富微电,69.78,9.994,153.43 亿
20,sz300274,阳光电源,167.24,1.659,149.80 亿
