序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh688981,中芯国际,156.0,18.785,372.54 亿
3,sh603986,兆易创新,515.6,9.997,293.88 亿
9,sh600584,长电科技,80.17,10.003,210.49 亿
13,sz000988,华工科技,171.94,9.999,178.98 亿
19,sz002156,通富微电,69.78,9.994,153.43 亿
