序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4152.5686,39.669,0.965,4112.8996,4126.3376,4153.8788,4119.7996,615930861.0,1445655378392,14456.55 亿
2,sz399001,深证成指,15856.61,259.313,1.663,15597.297,15716.389,15857.081,15547.159,78122587305.0,1760074861165,17600.75 亿
3,Total,沪深总成交额,,,,,,,,,3205730239557,32057.30 亿
