序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300067,安诺其,7.27,19.97,1.21,323665,2.35 亿,0.0,7.27,7.27,7.27,6.06,3.45,-170.38,3.36,昨日涨停_含一字
2,600052,东望时代,4.58,10.1,0.42,1004453,4.44 亿,9.13,4.58,4.2,4.24,4.16,11.9,43.91,1.43,昨日涨停_含一字
3,603618,杭电股份,31.41,10.02,2.86,1022903,31.76 亿,9.32,31.41,28.75,28.86,28.55,14.8,67.16,8.03,昨日涨停_含一字
4,001234,泰慕士,32.52,10.01,2.96,99224,3.14 亿,9.2,32.52,29.8,29.82,29.56,10.85,75.54,3.83,昨日涨停_含一字
5,603318,水发燃气,10.35,9.99,0.94,131864,1.36 亿,0.0,10.35,10.35,10.35,9.41,2.87,272.41,3.05,昨日涨停_含一字
6,600736,苏州高新,8.37,9.99,0.76,301338,2.52 亿,0.0,8.37,8.37,8.37,7.61,2.62,25.95,1.29,昨日涨停_含一字
7,601512,中新集团,11.35,9.98,1.03,382169,4.24 亿,8.24,11.35,10.5,10.5,10.32,2.55,16.11,1.11,昨日涨停_含一字
8,600396,华电辽能,9.83,9.96,0.89,4049629,36.38 亿,19.91,9.83,8.05,9.29,8.94,27.5,3266.19,10.72,昨日涨停_含一字
9,002081,金 螳 螂,5.43,9.92,0.49,3306621,17.92 亿,3.64,5.43,5.25,5.43,4.94,12.5,28.34,1.05,昨日涨停_含一字
10,603115,海星股份,58.55,9.32,4.99,210966,12.19 亿,7.82,58.92,54.73,55.22,53.56,8.72,89.29,6.54,昨日涨停_含一字
11,300890,翔丰华,42.64,7.16,2.85,492086,20.54 亿,14.53,44.78,39.0,39.59,39.79,45.2,54.19,2.38,昨日涨停_含一字
12,600105,永鼎股份,48.5,6.52,2.97,2308499,111.92 亿,6.3,50.07,47.2,48.1,45.53,15.79,111.61,21.37,昨日涨停_含一字
13,000751,锌业股份,6.74,6.48,0.41,3192783,20.64 亿,10.11,6.84,6.2,6.4,6.33,22.65,36.93,2.95,昨日涨停_含一字
14,603906,龙蟠科技,30.45,6.39,1.83,1055290,31.59 亿,12.05,31.4,27.95,28.62,28.62,18.68,-120.91,7.37,昨日涨停_含一字
15,002443,金洲管道,11.14,6.3,0.66,868843,9.56 亿,9.92,11.37,10.33,10.43,10.48,16.73,42.1,1.67,昨日涨停_含一字
