序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300067,安诺其,7.27,19.97,1.21,323665,2.35 亿,0.0,7.27,7.27,7.27,6.06,3.45,-170.38,3.36,昨日连板_含一字
2,600736,苏州高新,8.37,9.99,0.76,301338,2.52 亿,0.0,8.37,8.37,8.37,7.61,2.62,25.95,1.29,昨日连板_含一字
3,600396,华电辽能,9.83,9.96,0.89,4049629,36.38 亿,19.91,9.83,8.05,9.29,8.94,27.5,3266.19,10.72,昨日连板_含一字
4,002081,金 螳 螂,5.43,9.92,0.49,3306621,17.92 亿,3.64,5.43,5.25,5.43,4.94,12.5,28.34,1.05,昨日连板_含一字
5,603115,海星股份,58.55,9.32,4.99,210966,12.19 亿,7.82,58.92,54.73,55.22,53.56,8.72,89.29,6.54,昨日连板_含一字
6,605365,立达信,32.0,5.19,1.58,282725,9.16 亿,9.01,33.46,30.72,31.88,30.42,5.63,94.65,4.31,昨日连板_含一字
7,603813,*ST原尚,33.31,5.01,1.59,1308,435.69 万,0.0,33.31,33.31,33.31,31.72,0.12,-49.99,6.78,昨日连板_含一字
8,003018,金富科技,54.77,4.92,2.57,266435,14.36 亿,10.34,57.42,52.02,55.0,52.2,11.22,141.16,8.9,昨日连板_含一字
9,600696,*ST岩石,1.31,4.8,0.06,31991,418.34 万,0.8,1.31,1.3,1.3,1.25,0.96,-2.94,1.52,昨日连板_含一字
10,002620,ST瑞和,10.45,1.36,0.14,295589,3.09 亿,7.95,10.8,9.98,10.62,10.31,9.37,-52.58,-179.05,昨日连板_含一字
11,002201,九鼎新材,14.8,-3.39,-0.52,1897894,29.75 亿,13.77,16.85,14.74,15.98,15.32,31.53,106.49,8.25,昨日连板_含一字
