序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,金 螳 螂,002081,5.0,5天5板,9.919028282165527,5.43,17.92 亿,143.60 亿,144.18 亿,12.503271102905273,179601105.0,093033,101548,3,装修装饰,,,
2,安诺其,300067,3.0,3天3板,19.966997146606445,7.27,2.35 亿,68.16 亿,83.92 亿,3.452486276626587,539730652.0,092500,092500,0,化学制品,,,
3,苏州高新,600736,3.0,3天3板,9.986859321594238,8.37,2.52 亿,96.36 亿,96.36 亿,2.61738920211792,238108780.0,092502,092502,0,房地产开,,,
4,华电辽能,600396,3.0,9天5板,9.955257415771484,9.83,36.38 亿,144.77 亿,144.77 亿,27.497859954833984,88606538.0,134322,134322,0,电力,,,
5,水发燃气,603318,2.0,4天3板,9.989372253417969,10.35,1.36 亿,47.51 亿,57.41 亿,2.8724071979522705,160476894.0,092502,092502,0,燃气Ⅱ,,,
6,杭电股份,603618,2.0,2天2板,10.017513275146484,31.41,31.76 亿,217.16 亿,217.16 亿,14.795183181762695,86088528.0,093507,130543,9,电网设备,,,
7,泰慕士,001234,2.0,2天2板,10.013531684875488,32.52,3.14 亿,29.75 亿,35.58 亿,10.845871925354004,197939484.0,093945,094006,1,服装家纺,,,
8,东望时代,600052,2.0,2天2板,10.096153259277344,4.58,4.44 亿,38.66 亿,38.66 亿,11.898357391357422,97296425.0,133058,133058,0,电力,,,
9,中新集团,601512,2.0,2天2板,9.980620384216309,11.35,4.24 亿,170.12 亿,170.12 亿,2.549679756164551,43457254.0,093439,095127,1,房地产开,,,
47,和远气体,002971,1.0,首板,10.0,33.88,5.12 亿,52.99 亿,71.74 亿,9.968526840209961,21086912.0,134930,134930,0,化学制品,,,
2,九鼎新材,002201,0.0,3天2板,-3.3942558765411377,14.8,29.75 亿,89.10 亿,96.44 亿,31.525266647338867,,093030,,1,玻璃玻纤,16.85,-0.06752194464206696,13.772845268249512
4,海星股份,603115,0.0,3天2板,9.316654205322266,58.55,12.19 亿,141.63 亿,141.63 亿,8.72154712677002,,093229,,7,元件,58.92,0.08547008782625198,7.823002338409424
6,中国动力,600482,0.0,0天0板,7.2316670417785645,42.26,39.54 亿,958.56 亿,958.56 亿,4.105352401733398,,093354,,1,其他电源,43.35,-0.16536734998226166,5.658462047576904
15,立达信,605365,0.0,3天2板,5.19395112991333,32.0,9.16 亿,160.64 亿,160.64 亿,5.631824016571045,,110522,,1,照明设备,33.46,0.6605851054191589,9.007231712341309
19,金富科技,003018,0.0,9天5板,4.9233717918396,54.77,14.36 亿,130.02 亿,142.40 亿,11.223631858825684,,141827,,1,包装印刷,57.42,0.03652968257665634,10.344827651977539
