排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日连板_含一字,BK1051,8470.92,554.43,7.0,1089.16 亿,9.58,10,1,安诺其,19.97
2,昨日连板,BK0816,7846.35,392.63,5.27,826.08 亿,7.56,7,1,苏州高新,9.99
3,氦气概念,BK0949,3075.18,59.01,1.96,2658.52 亿,8.93,10,5,水发燃气,9.99
4,船舶制造,BK0729,1404.67,25.22,1.83,7597.99 亿,3.77,8,3,中国动力,7.23
5,昨日涨停_含一字,BK1050,40761.17,712.42,1.78,17846.08 亿,13.61,35,28,安诺其,19.97
