序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,002971,和远气体,33.88,10.0,3.08,155909,5.12 亿,10.55,33.88,30.63,30.81,30.8,9.97,99.4,3.97,氦气概念
2,603318,水发燃气,10.35,9.99,0.94,131864,1.36 亿,0.0,10.35,10.35,10.35,9.41,2.87,272.41,3.05,氦气概念
3,688268,华特气体,147.33,6.84,9.43,140784,20.22 亿,10.51,149.5,135.01,141.89,137.9,11.74,130.61,9.58,氦气概念
4,688106,金宏气体,34.4,5.04,1.65,655701,22.25 亿,6.87,35.13,32.88,33.61,32.75,13.07,130.86,5.58,氦气概念
5,300540,蜀道装备,30.72,4.67,1.37,396471,11.99 亿,8.48,31.4,28.91,29.37,29.35,19.18,117.38,6.23,氦气概念
6,600759,洲际油气,5.28,2.92,0.15,5341457,28.05 亿,4.87,5.36,5.11,5.15,5.13,12.89,197.77,2.49,氦气概念
7,002430,杭氧股份,30.5,2.01,0.6,281235,8.52 亿,3.75,30.8,29.68,29.85,29.9,2.88,31.45,3.05,氦气概念
8,688548,广钢气体,30.05,0.77,0.23,339698,10.18 亿,4.96,30.68,29.2,30.36,29.82,4.91,138.57,6.6,氦气概念
9,605090,九丰能源,45.94,0.57,0.26,335819,15.16 亿,5.91,46.71,44.01,45.24,45.68,4.77,18.65,2.76,氦气概念
10,000811,冰轮环境,22.43,0.09,0.02,752205,16.73 亿,5.8,22.97,21.67,22.83,22.41,7.69,39.44,3.49,氦气概念
11,301286,侨源股份,47.92,-1.28,-0.62,17715,8544.43 万,3.05,49.2,47.72,48.95,48.54,1.1,82.5,9.76,氦气概念
12,688596,正帆科技,32.13,-1.83,-0.6,63842,2.06 亿,3.45,32.98,31.85,32.79,32.73,2.17,-92.3,2.61,氦气概念
13,002549,凯美特气,18.8,-2.44,-0.47,415331,7.87 亿,4.1,19.39,18.6,19.27,19.27,6.0,304.52,6.3,氦气概念
14,300435,中泰股份,23.3,-3.28,-0.79,205131,4.79 亿,6.72,24.42,22.8,24.06,24.09,5.56,52.81,2.6,氦气概念
15,002639,雪人集团,18.37,-4.72,-0.91,683419,12.69 亿,5.91,19.39,18.25,19.28,19.28,10.5,271.79,5.66,氦气概念
