序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,603565,中谷物流,-9.959183692932129,11.03,4.93 亿,231.64 亿,231.64 亿,11.575746536254883,2.109739303588867,395977,134552,111913689,1,8,航运港口
2,688089,嘉必优,-19.980018615722656,16.02,3.03 亿,26.96 亿,26.96 亿,-15.472173690795898,10.989195823669434,641825,150000,576104528,1,13,化学制品
3,600843,上工申贝,-9.9580717086792,8.59,2.87 亿,40.31 亿,61.26 亿,612.0435791015625,6.937238693237305,14448732,130107,40902143,1,0,专用设备
4,603272,联翔股份,-9.99551773071289,20.08,2.89 亿,20.81 亿,20.81 亿,711.2491455078125,13.625350952148438,31013560,112156,2011660584,4,0,家居用品
5,600815,厦工股份,-9.955751419067383,4.07,14.10 亿,72.21 亿,72.21 亿,-98.30017852783203,18.77652931213379,31242948,142123,395196544,1,37,工程机械
6,603585,苏利股份,-9.97885799407959,21.29,2.67 亿,40.77 亿,41.65 亿,48.3708381652832,6.52634334564209,47457794,103352,1911236218,1,6,农化制品
7,600259,中稀有色,-10.002852439880371,94.65,16.80 亿,318.44 亿,318.44 亿,249.6446990966797,5.177087783813477,91070999,104240,328456509,1,3,小金属
8,600110,诺德股份,-10.0,9.27,23.51 亿,160.85 亿,160.85 亿,100.30706787109375,14.166755676269531,99820157,104406,495930810,1,12,电池
9,603529,爱玛科技,-9.986129760742188,25.96,4.31 亿,220.03 亿,225.31 亿,28.719970703125,1.9541206359863281,130506163,094700,3775470844,1,1,摩托车及
10,002565,顺灏股份,-9.97722053527832,19.76,54.56 亿,209.44 亿,209.45 亿,233.35218811035156,25.178861618041992,142871972,141009,497318393,1,3,包装印刷
11,000533,顺钠股份,-9.968847274780273,14.45,13.95 亿,98.97 亿,99.82 亿,97.91412353515625,13.876986503601074,174869145,101027,3137709540,1,0,电网设备
12,603169,兰石重装,-10.0,8.82,3.13 亿,115.21 亿,115.21 亿,-19.328170776367188,2.7111308574676514,210743977,093806,2720454030,1,3,专用设备
13,600338,西藏珠峰,-10.0,20.52,10.00 亿,187.60 亿,187.60 亿,26.081279754638672,5.264672756195068,260113633,094349,475245252,1,7,工业金属
14,000892,欢瑞世纪,-9.967320442199707,5.51,7000.95 万,39.17 亿,54.05 亿,-115.7209243774414,1.7874575853347778,260676502,092500,697702097,1,0,影视院线
15,603363,傲农生物,-9.925558090209961,3.63,1.33 亿,77.80 亿,94.49 亿,121.72838592529297,1.7061059474945068,339094555,092502,2042776692,1,0,饲料
