序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300308,中际旭创,897.0,1.17,278.78 亿
2,300502,新易盛,608.28,-2.32,246.51 亿
3,002384,东山精密,186.66,0.17,213.86 亿
4,300394,天孚通信,350.09,-6.74,198.38 亿
5,601138,工业富联,67.92,1.54,187.95 亿
6,600487,亨通光电,69.52,5.69,187.76 亿
7,300476,胜宏科技,331.95,-3.16,169.50 亿
8,002475,立讯精密,67.77,-0.38,159.39 亿
9,300750,宁德时代,438.9,0.58,155.67 亿
10,002281,光迅科技,131.68,6.22,142.69 亿
11,300058,蓝色光标,19.0,-1.25,141.94 亿
12,603986,兆易创新,304.8,-2.92,137.10 亿
13,002428,云南锗业,76.88,2.18,130.01 亿
14,601899,紫金矿业,34.4,-3.18,123.39 亿
15,688525,佰维存储,264.3,-5.94,120.99 亿
16,000988,华工科技,117.65,-2.73,119.75 亿
17,600105,永鼎股份,48.5,6.52,111.92 亿
18,001309,德明利,494.69,-5.77,107.63 亿
19,002463,沪电股份,106.62,3.24,105.65 亿
20,600118,中国卫星,102.0,4.53,103.99 亿
