序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1191.81,5.47,341.67 亿
2,sh601138,工业富联,80.01,8.488,294.05 亿
3,sz300502,新易盛,747.0,9.882,281.44 亿
4,sh603986,兆易创新,474.69,1.429,230.14 亿
5,sz002384,东山精密,210.93,10.003,220.70 亿
6,sz300394,天孚通信,457.0,6.557,210.82 亿
7,sh600584,长电科技,75.35,-0.397,190.21 亿
8,sh600522,中天科技,42.89,8.886,170.69 亿
9,sz002475,立讯精密,74.0,4.653,167.48 亿
10,sz300750,宁德时代,433.89,3.283,167.19 亿
11,sz000725,京东方Ａ,5.47,2.052,161.47 亿
12,sh688256,寒武纪,1300.0,5.008,160.89 亿
13,sh688008,澜起科技,237.0,2.023,156.23 亿
14,sh600487,亨通光电,83.12,10.005,154.81 亿
15,sz002281,光迅科技,215.11,5.291,151.82 亿
16,sh600183,生益科技,141.07,4.011,147.43 亿
17,sz300476,胜宏科技,349.08,1.966,145.74 亿
18,sh688981,中芯国际,132.48,0.03,122.56 亿
19,sz300408,三环集团,134.46,7.029,115.28 亿
20,sz000988,华工科技,149.25,4.32,114.03 亿
