序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,947.74,-7.265,675.11亿
2,sz300502,新易盛,424.3,-5.29,364.01亿
3,sh688825,长鑫科技,54.3,-1.273,313.79亿
4,sh603986,兆易创新,385.44,8.264,261.79亿
5,sz002384,东山精密,188.83,5.439,244.41亿
6,sh688256,寒武纪,1136.9,5.443,205.57亿
7,sh603259,药明康德,147.5,4.351,197.40亿
8,sh601138,工业富联,65.92,9.995,185.53亿
9,sh600487,亨通光电,54.41,8.236,182.24亿
10,sz300394,天孚通信,216.85,2.288,177.69亿
11,sz300476,胜宏科技,236.35,17.121,163.87亿
12,sz000938,紫光股份,36.94,7.634,159.18亿
13,sz000725,京东方Ａ,5.97,6.039,146.56亿
14,sh601899,紫金矿业,34.1,6.164,144.45亿
15,sh688012,中微公司,358.0,12.671,132.18亿
16,sz000636,风华高科,57.8,6.387,127.59亿
17,sz002475,立讯精密,55.87,0.703,122.23亿
18,sh688008,澜起科技,212.0,4.305,121.69亿
19,sz300750,宁德时代,405.2,2.556,121.24亿
20,sh600176,中国巨石,39.28,8.538,120.82亿
