序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1004.0,2.505,460.94亿
2,sz300502,新易盛,510.0,5.616,345.31亿
3,sh603986,兆易创新,432.3,-6.661,322.60亿
4,sz002384,东山精密,217.73,-9.999,245.84亿
5,sh688256,寒武纪,1209.0,1.547,197.52亿
6,sz000938,紫光股份,37.69,7.287,191.88亿
7,sz300750,宁德时代,376.43,4.564,166.33亿
8,sh600584,长电科技,76.99,-9.943,162.84亿
9,sz000725,京东方Ａ,5.79,-4.613,158.25亿
10,sh688008,澜起科技,189.94,3.453,145.45亿
11,sz000977,浪潮信息,81.29,5.026,141.17亿
12,sh600519,贵州茅台,1327.5,5.946,138.98亿
13,sh600487,亨通光电,56.56,-3.134,135.27亿
14,sz002156,通富微电,63.0,-7.841,134.80亿
15,sh688981,中芯国际,144.0,2.945,134.65亿
16,sh688012,中微公司,342.5,-2.335,127.19亿
17,sh688498,源杰科技,1403.42,-15.252,126.47亿
18,sz002371,北方华创,676.91,-0.013,120.41亿
19,sh600183,生益科技,123.34,-6.765,118.51亿
20,sh688041,海光信息,320.12,4.999,112.97亿
