序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,814.0,0.123,173.78亿
2,sz000977,浪潮信息,77.72,-9.994,137.08亿
3,sh600150,中国船舶,37.47,9.178,123.93亿
4,sz300502,新易盛,386.0,0.322,117.22亿
5,sh603986,兆易创新,371.88,-2.954,113.12亿
6,sh688825,长鑫科技,54.8,-1.35,111.25亿
7,sh600487,亨通光电,62.22,-4.702,101.64亿
8,sz300394,天孚通信,248.7,-0.044,98.33亿
9,sh600183,生益科技,137.5,-3.974,94.20亿
10,sh688256,寒武纪,1072.0,-2.545,90.48亿
11,sh600176,中国巨石,40.18,-5.747,89.39亿
12,sz300058,蓝色光标,13.97,5.914,86.54亿
13,sz000938,紫光股份,35.27,-7.501,86.18亿
14,sz002384,东山精密,178.67,-0.273,84.84亿
15,sh601138,工业富联,63.69,0.775,83.37亿
16,sz300750,宁德时代,351.0,0.429,80.20亿
17,sh600584,长电科技,67.36,-5.486,80.01亿
18,sh603228,景旺电子,96.34,8.957,74.14亿
19,sh600869,远东股份,21.2,0.713,72.72亿
20,sh688347,华虹宏力,223.5,-8.88,68.47亿
