序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3822.2846,12.622,0.331,3809.6629,3816.3699,3831.94,3799.5244,540324922.0,1008382536905,10083.83亿
2,sz399001,深证成指,13885.711,437.422,3.253,13448.289,13572.951,13936.518,13537.764,66483657699.0,1205209291730,12052.09亿
3,Total,沪深总成交额,,,,,,,,,2213591828635,22135.92亿
