序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1021.99,13.24,497.90亿
2,sz300502,新易盛,448.0,13.683,299.14亿
3,sh688825,长鑫科技,55.0,0.018,277.63亿
4,sh603986,兆易创新,356.02,4.484,221.66亿
5,sh688256,寒武纪,1078.21,4.884,186.03亿
6,sz300394,天孚通信,212.0,17.452,158.73亿
7,sz002384,东山精密,179.09,9.999,153.29亿
8,sz300058,蓝色光标,15.72,6.793,119.24亿
9,sh600487,亨通光电,50.27,6.122,111.77亿
10,sh603259,药明康德,141.35,10.0,105.03亿
11,sz000636,风华高科,54.33,4.561,104.23亿
12,sz300750,宁德时代,395.1,0.177,103.52亿
13,sh600176,中国巨石,36.19,6.254,103.03亿
14,sh688012,中微公司,317.74,2.546,98.90亿
15,sh601138,工业富联,59.93,7.209,98.62亿
16,sh688008,澜起科技,203.25,7.007,98.30亿
17,sz000725,京东方Ａ,5.63,3.875,97.59亿
18,sz002371,北方华创,687.0,7.126,96.52亿
19,sz300408,三环集团,120.98,6.123,92.53亿
20,sh600584,长电科技,65.41,7.23,91.87亿
