序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,华远控股,600743,6.0,6天6板,9.931507110595703,3.21,2.20 亿,75.31 亿,75.31 亿,2.92755126953125,109493918.0,093030,093030,0,一般零售,,,
2,中恒电气,002364,4.0,4天4板,9.992233276367188,42.49,36.30 亿,237.14 亿,239.46 亿,15.50767707824707,287982518.0,093215,093215,0,其他电源,,,
3,圣阳股份,002580,4.0,10天5板,10.009578704833984,22.97,39.26 亿,103.90 亿,104.25 亿,39.02859878540039,135911744.0,102403,140057,4,电池,,,
4,美能能源,001299,3.0,3天3板,10.02967357635498,18.54,3.83 亿,40.49 亿,44.99 亿,9.675386428833008,203313533.0,093342,103742,1,燃气Ⅱ,,,
22,协创数据,300857,1.0,首板,20.0,249.6,42.21 亿,858.60 亿,863.92 亿,4.964190483093262,507318739.0,093303,093303,0,消费电子,,,
27,大为股份,002213,1.0,首板,9.994222640991211,38.08,6.63 亿,78.66 亿,90.43 亿,8.701033592224121,112103712.0,094354,094354,0,半导体,,,
28,盈新发展,000620,1.0,首板,9.893993377685547,3.11,6.70 亿,145.29 亿,182.61 亿,4.70989990234375,105404427.0,094557,094557,0,房地产开,,,
35,新朋股份,002328,1.0,4天3板,10.037175178527832,11.84,18.80 亿,67.58 亿,91.38 亿,29.036754608154297,95386319.0,102036,103230,1,汽车零部,,,
53,孚日股份,002083,1.0,首板,9.992429733276367,14.53,13.26 亿,137.55 亿,137.55 亿,10.213824272155762,141269770.0,143839,143839,0,纺织制造,,,
11,太极实业,600667,0.0,0天0板,6.035379886627197,10.19,28.15 亿,213.13 亿,213.13 亿,13.114668846130371,,102124,,2,工程咨询,10.57,0.0,8.012487411499023
