排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日打二板以上表现,BK1645,1849.46,114.26,6.58,770.53 亿,12.68,5,1,华远控股,9.93
2,昨日连板,BK0816,6213.39,218.22,3.64,929.71 亿,8.34,13,3,华远控股,9.93
3,同步磁阻电机,BK1131,2512.29,80.06,3.29,1173.90 亿,4.36,7,0,孚日股份,9.99
4,昨日连板_含一字,BK1051,6617.91,209.2,3.26,1458.71 亿,8.52,16,4,华远控股,9.93
5,存储芯片,BK1137,2427.86,73.1,3.1,51642.97 亿,5.1,98,10,协创数据,20.0
