序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,天津普林,002134,0天0板,7.850467205047607,23.08,23.54,5.83 亿,56.89 亿,56.93 亿,10.354379653930664,-0.043308794498443604,093003,1,7.196261882781982,元件
2,佛燃能源,002911,0天0板,-1.4946619272232056,13.84,15.46,3.44 亿,175.36 亿,179.67 亿,1.896740436553955,0.435413658618927,093024,2,12.241992950439453,燃气Ⅱ
3,锦和商管,603682,2天1板,1.0086455345153809,7.01,7.63,4.20 亿,33.12 亿,33.12 亿,12.127301216125488,-0.4261363744735718,093107,2,9.942362785339355,一般零售
4,证通电子,002197,0天0板,1.7015706300735474,7.77,8.4,3.52 亿,41.49 亿,47.74 亿,8.327104568481445,-0.1285347044467926,093118,1,10.471203804016113,计算机设
5,豫能控股,001896,0天0板,4.510756492614746,15.06,15.85,31.93 亿,229.78 亿,229.78 亿,13.555493354797363,0.0,093248,5,7.980568885803223,电力
6,宏和科技,603256,2天1板,9.742441177368164,98.0,98.23,34.44 亿,862.13 亿,886.49 亿,4.010395526885986,-0.23414434492588043,093531,53,4.736842155456543,玻璃玻纤
7,江苏有线,600959,0天0板,7.455012798309326,4.18,4.28,11.21 亿,209.03 亿,209.03 亿,5.306805610656738,-0.23866349458694458,093724,3,9.511568069458008,电视广播
8,大族激光,002008,0天0板,9.131696701049805,82.7,83.36,45.44 亿,791.21 亿,851.48 亿,5.800534725189209,-0.06042296439409256,094942,5,9.633148193359375,自动化设
9,江海股份,002484,0天0板,8.939640998840332,33.39,33.72,30.69 亿,273.96 亿,283.99 亿,11.282310485839844,-0.05986231938004494,095742,5,8.28711223602295,元件
10,杭钢股份,600126,0天0板,5.444444179534912,9.49,9.9,33.52 亿,320.50 亿,320.50 亿,10.27721118927002,0.0,095751,1,8.666666984558105,普钢
11,太极实业,600667,0天0板,6.035379886627197,10.19,10.57,28.15 亿,213.13 亿,213.13 亿,13.114668846130371,0.0,102124,2,8.012487411499023,工程咨询
12,宇晶股份,002943,2天1板,5.950058460235596,54.31,56.39,21.92 亿,79.08 亿,111.62 亿,27.881229400634766,0.3325327932834625,102609,1,10.300429344177246,通用设备
13,宏景科技,301396,0天0板,14.370827674865723,222.68,233.64,41.65 亿,169.42 亿,341.85 亿,24.564451217651367,0.0,102609,1,12.198253631591797,IT服务Ⅱ
14,矽电股份,301629,0天0板,14.274601936340332,293.8,308.52,11.46 亿,56.40 亿,122.59 亿,20.47589111328125,0.0,104345,1,17.31233024597168,半导体
15,云南锗业,002428,0天0板,6.802104473114014,58.88,60.64,68.09 亿,384.51 亿,384.56 亿,17.848922729492188,0.0,104415,1,11.028478622436523,小金属
16,汇源通信,000586,8天5板,7.361111164093018,23.19,23.76,17.58 亿,44.86 亿,44.86 亿,40.841434478759766,0.04314063861966133,111127,3,15.185184478759766,通信设备
17,春秋电子,603890,0天0板,8.620689392089844,17.01,17.23,12.20 亿,76.00 亿,76.00 亿,16.37384796142578,0.0,111731,1,9.642401695251465,消费电子
18,航天动力,600343,0天0板,6.790317535400391,33.97,34.99,34.70 亿,216.80 亿,216.80 亿,16.118867874145508,0.0,133018,1,11.411505699157715,通用设备
