序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,001299,美能能源,18.54,10.03,1.69,211310,3.83 亿,9.14,18.54,17.0,17.0,16.85,9.68,43.89,3.71,昨日连板
2,002580,圣阳股份,22.97,10.01,2.09,1765415,39.26 亿,7.85,22.97,21.33,22.79,20.88,39.03,48.83,4.48,昨日连板
3,600743,华远控股,3.21,9.93,0.29,686833,2.20 亿,2.05,3.21,3.15,3.21,2.92,2.93,-154.74,11.9,昨日连板
4,600381,*ST春天,3.05,5.17,0.15,123905,3763.59 万,5.17,3.05,2.9,2.96,2.9,2.11,-474.24,1.74,昨日连板
5,600238,*ST椰岛,4.33,5.1,0.21,37008,1601.67 万,0.49,4.33,4.31,4.33,4.12,0.83,-211.59,19.12,昨日连板
6,603813,*ST原尚,29.12,5.01,1.39,5598,1628.78 万,0.5,29.12,28.98,29.09,27.73,0.53,-56.58,5.61,昨日连板
7,603580,*ST艾艾,19.41,4.98,0.92,34887,6761.68 万,1.68,19.41,19.1,19.22,18.49,2.67,143.05,6.02,昨日连板
8,600243,*ST海华,3.59,4.97,0.17,155350,5526.94 万,6.73,3.59,3.36,3.42,3.42,3.54,-184.79,2.49,昨日连板
9,605255,天普股份,120.15,3.72,4.31,52025,6.15 亿,11.17,123.94,111.0,111.89,115.84,3.88,676.85,19.96,昨日连板
10,002047,*ST宝鹰,5.38,2.48,0.13,357858,1.89 亿,4.38,5.4,5.17,5.32,5.25,2.36,137.78,160.6,昨日连板
11,002199,*ST东晶,9.2,2.34,0.21,70760,6555.28 万,4.34,9.44,9.05,9.1,8.99,2.91,-42.92,11.74,昨日连板
12,603557,ST起步,4.06,2.27,0.09,213587,8732.99 万,4.03,4.16,4.0,4.1,3.97,3.43,-23.2,32.32,昨日连板
13,603021,ST华鹏,8.16,1.87,0.15,183345,1.50 亿,6.74,8.41,7.87,8.01,8.01,5.73,-20.39,-63.76,昨日连板
14,000402,金 融 街,3.06,0.0,0.0,2326828,7.21 亿,8.17,3.22,2.97,3.07,3.06,7.79,-5.08,0.39,昨日连板
15,600165,ST宁科,3.67,-1.08,-0.04,175901,6542.10 万,7.28,3.89,3.62,3.84,3.71,2.4,-17.72,-14.03,昨日连板
