序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000035,中国天楹,7.71,21.41,19430.5799,144672.061,连续三个交易日内，涨幅偏离值累计达20%的证券
2,000510,新金路,22.45,21.4,13115.0176,274504.3213,连续三个交易日内，涨幅偏离值累计达20%的证券
3,000731,四川美丰,8.6,20.32,22062.9874,183800.7673,连续三个交易日内，涨幅偏离值累计达20%的证券
4,000960,锡业股份,48.8,21.38,21922.0337,1004072.6435,连续三个交易日内，涨幅偏离值累计达20%的证券
5,001400,江顺科技,133.45,26.47,876.4732,104888.8033,连续三个交易日内，涨幅偏离值累计达20%的证券
6,002155,湖南黄金,41.47,21.39,42224.6507,1640295.9539,连续三个交易日内，涨幅偏离值累计达20%的证券
7,002356,赫美集团,4.64,21.21,30009.3832,129759.3551,连续三个交易日内，涨幅偏离值累计达20%的证券
8,002842,翔鹭钨业,45.72,21.39,11296.9412,490771.0234,连续三个交易日内，涨幅偏离值累计达20%的证券
9,002980,华盛昌,31.87,21.37,962.3219,28109.7451,连续三个交易日内，涨幅偏离值累计达20%的证券
10,600108,亚盛集团,4.37,20.18,24627.9977,98895.4,连续三个交易日内，涨幅偏离值累计达20%的证券
11,600259,中稀有色,112.29,20.13,4665.7434,491405.27,连续三个交易日内，涨幅偏离值累计达20%的证券
12,600452,涪陵电力,14.61,20.17,21423.386,290857.49,连续三个交易日内，涨幅偏离值累计达20%的证券
13,600487,亨通光电,49.6,22.22,49694.1233,2311919.87,连续三个交易日内，涨幅偏离值累计达20%的证券
14,603257,中国瑞林,73.07,20.13,1708.148,116578.67,连续三个交易日内，涨幅偏离值累计达20%的证券
15,603318,水发燃气,8.82,20.12,13583.4816,112197.75,连续三个交易日内，涨幅偏离值累计达20%的证券
16,603353,和顺石油,46.34,20.12,2904.7871,128933.34,连续三个交易日内，涨幅偏离值累计达20%的证券
17,603618,杭电股份,18.33,20.21,37900.7767,657930.64,连续三个交易日内，涨幅偏离值累计达20%的证券
18,603629,利通电子,64.37,20.13,8334.4269,497628.5,连续三个交易日内，涨幅偏离值累计达20%的证券
19,603897,长城科技,33.7,20.13,3557.878,111879.56,连续三个交易日内，涨幅偏离值累计达20%的证券
20,000826,启迪环境,2.53,-9.32,4166.89,10542.2317,跌幅偏离值达7%的证券
21,000880,潍柴重机,34.14,-8.96,5238.7717,184391.6429,跌幅偏离值达7%的证券
22,001209,洪兴股份,29.27,-9.32,2596.8999,79709.5924,跌幅偏离值达7%的证券
23,002855,捷荣技术,14.76,-9.32,137.48,2029.2048,跌幅偏离值达7%的证券
24,002943,宇晶股份,64.68,-9.32,1747.2069,117030.4476,跌幅偏离值达7%的证券
25,600082,海泰发展,3.95,-10.5,316.76,1251.2,跌幅偏离值达7%的证券
26,600481,双良节能,8.43,-10.51,2264.36,19088.55,跌幅偏离值达7%的证券
27,600537,亿晶光电,3.57,-10.55,20504.8088,74881.92,跌幅偏离值达7%的证券
28,603272,联翔股份,22.48,-10.48,578.59,13298.26,跌幅偏离值达7%的证券
29,605060,联德股份,63.18,-9.67,1310.4959,83997.72,跌幅偏离值达7%的证券
30,000890,法尔胜,8.43,29.54,12393.0721,100645.6253,换手率达20%的证券
31,001282,三联锻造,24.43,28.97,2264.702,54777.5039,换手率达20%的证券
