序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,sz300308,中际旭创,570.58,6.85,275.58 亿,,,,
2,sz300502,新易盛,381.0,5.875,204.91 亿,,,,
3,sz300394,天孚通信,350.0,-5.072,198.35 亿,,,,
4,sh601899,紫金矿业,40.77,3.085,191.42 亿,,,,
5,sh600410,华胜天成,29.98,3.594,146.11 亿,,,,
6,sz002594,比亚迪,96.79,8.363,135.07 亿,,,,
7,sh600111,北方稀土,61.74,-1.058,126.02 亿,,,,
8,sh600089,特变电工,31.49,3.79,124.75 亿,,,,
9,sz300476,胜宏科技,303.3,-0.25,119.26 亿,,,,
10,sh600118,中国卫星,100.17,9.26,119.24 亿,,,,
11,sz300274,阳光电源,149.38,3.377,113.36 亿,,,,
12,sh603993,洛阳钼业,24.8,3.376,111.95 亿,,,,
13,sh600010,包钢股份,3.32,2.469,110.21 亿,,,,
14,sz002155,湖南黄金,41.47,10.0,107.30 亿,,,,
15,sh688256,寒武纪,1191.9,1.18,103.89 亿,,,,
16,sh601857,中国石油,11.95,10.037,102.22 亿,,,,
17,sz300750,宁德时代,340.22,-0.523,96.43 亿,,,,
18,sz000547,航天发展,31.99,4.033,95.48 亿,,,,
19,sz300442,润泽科技,98.7,-4.536,92.19 亿,,,,
20,sz002261,拓维信息,35.83,-1.889,92.12 亿,,,,
