序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,sh600410,华胜天成,29.98,3.594,146.11 亿,,,,
2,sh600118,中国卫星,100.17,9.26,119.24 亿,,,,
3,sz002155,湖南黄金,41.47,10.0,107.30 亿,,,,
4,sh601857,中国石油,11.95,10.037,102.22 亿,,,,
