序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,当前状态,涨停价,涨速,振幅
1,上海贝岭,600171,0.0,0天0板,6.612411022186279,31.44,11.50 亿,222.89 亿,222.89 亿,5.188600540161133,,101250,,1,半导体,炸板,32.44,0.0,8.952186584472656
2,通鼎互联,002491,0.0,0天0板,8.280255317687988,11.9,26.56 亿,140.00 亿,146.37 亿,19.51065444946289,,135636,,1,通信设备,炸板,12.09,-0.25146690011024475,9.918107032775879
3,瑞斯康达,603803,1.0,首板,10.0,11.0,1.20 亿,46.74 亿,46.74 亿,2.5579230785369873,109409509.0,092503,092503,0,通信设备,涨停,,,
4,航天电器,002025,1.0,首板,9.992148399353027,56.03,15.64 亿,254.31 亿,255.18 亿,6.195791721343994,132356643.0,093242,100903,4,军工电子,涨停,,,
5,金安国纪,002636,1.0,首板,9.984214782714844,27.87,4.39 亿,201.87 亿,202.89 亿,2.233130931854248,103282178.0,094154,094154,0,元件,涨停,,,
6,中英科技,300936,1.0,首板,20.00819969177246,58.54,4.85 亿,27.78 亿,44.02 亿,18.145219802856445,44168430.0,094851,142533,1,元件,涨停,,,
7,开山股份,300257,1.0,首板,19.993009567260742,34.33,13.31 亿,327.75 亿,341.11 亿,4.199375152587891,8077849.0,095224,132418,11,通用设备,涨停,,,
8,迅捷兴,688655,1.0,首板,20.0,29.4,3.28 亿,39.22 亿,39.22 亿,8.970242500305176,77260318.0,095642,095642,0,元件,涨停,,,
9,汇绿生态,001267,1.0,4天2板,9.992775917053223,45.68,20.20 亿,276.89 亿,358.66 亿,7.453205108642578,186378968.0,100042,104942,2,基础建设,涨停,,,
10,天通股份,600330,1.0,首板,10.031949043273926,17.22,22.11 亿,212.40 亿,212.40 亿,10.654450416564941,103094555.0,101456,103513,2,电子化学,涨停,,,
11,广合科技,001389,1.0,首板,10.0,120.23,8.86 亿,181.74 亿,511.80 亿,4.967145919799805,128441107.0,103951,103951,0,元件,涨停,,,
12,长飞光纤,601869,1.0,首板,9.999527931213379,233.1,38.00 亿,947.17 亿,1929.85 亿,4.19706916809082,318998282.0,130359,130359,0,通信设备,涨停,,,
13,光迅科技,002281,1.0,首板,9.996170043945312,86.16,45.57 亿,671.60 亿,695.03 亿,7.108549118041992,324659496.0,130409,130409,0,通信设备,涨停,,,
14,联瑞新材,688300,1.0,首板,20.0,99.96,18.13 亿,241.37 亿,241.37 亿,7.7142720222473145,18070169.0,130751,131548,1,非金属材,涨停,,,
15,东山精密,002384,1.0,首板,9.995928764343262,108.06,96.00 亿,1498.06 亿,1979.24 亿,6.588167667388916,247539093.0,132921,132921,0,元件,涨停,,,
16,烽火通信,600498,1.0,首板,10.0,57.2,80.10 亿,727.37 亿,776.87 亿,11.325041770935059,172732731.0,133350,135614,2,通信设备,涨停,,,
17,长光华芯,688048,1.0,首板,20.0,188.4,33.17 亿,332.11 亿,332.11 亿,10.800525665283203,137368280.0,140029,140526,1,半导体,涨停,,,
