排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,CPO概念,BK1128,6518.76,406.85,6.66,32970.95 亿,5.18,43,0,瑞斯康达,10.0
2,光通信模块,BK1136,3082.79,166.05,5.69,35289.73 亿,5.92,74,3,航天电器,9.99
3,F5G概念,BK1088,4316.67,200.06,4.86,14379.75 亿,2.65,24,1,瑞斯康达,10.0
4,地热能,BK0622,6384.56,294.56,4.84,1251.71 亿,4.97,7,1,开山股份,19.99
5,PCB,BK0877,3290.06,149.3,4.75,33908.38 亿,3.98,125,6,金安国纪,9.98
