序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz000725,京东方Ａ,9.1,3.763,493.42亿
2,sz300308,中际旭创,1143.0,-6.554,367.21亿
3,sz300502,新易盛,509.0,-11.564,365.74亿
4,sh603986,兆易创新,694.81,-10.0,321.21亿
5,sh688008,澜起科技,269.15,-14.796,256.43亿
6,sz002407,多氟多,54.82,-0.778,206.80亿
7,sh688256,寒武纪,1372.0,-7.63,196.15亿
8,sz002384,东山精密,221.68,-10.0,188.50亿
9,sh600584,长电科技,95.98,-9.996,186.87亿
10,sh688012,中微公司,408.9,-11.494,184.86亿
11,sz001248,N华润,23.95,136.894,176.92亿
12,sh688525,佰维存储,418.8,-9.56,147.79亿
13,sh600522,中天科技,51.58,-6.929,146.77亿
14,sh600487,亨通光电,93.84,-7.937,146.60亿
15,sz000100,TCL科技,5.92,-3.268,144.19亿
16,sh688981,中芯国际,144.1,-6.719,139.43亿
17,sz300394,天孚通信,250.77,-12.011,137.43亿
18,sz300408,三环集团,148.2,-13.059,136.54亿
19,sz001309,德明利,811.0,-9.205,133.60亿
20,sh601899,紫金矿业,26.3,4.739,133.02亿
