序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,926.0,4.033,299.74亿
2,sz300502,新易盛,423.0,2.945,177.33亿
3,sz002384,东山精密,194.42,0.351,144.20亿
4,sh601899,紫金矿业,32.26,-5.424,121.80亿
5,sz300394,天孚通信,261.96,-2.617,119.68亿
6,sh688825,长鑫科技,56.73,-0.822,116.34亿
7,sh600183,生益科技,148.43,1.0,115.16亿
8,sh600176,中国巨石,44.66,2.761,113.60亿
9,sh688256,寒武纪,1040.0,-0.368,110.57亿
10,sh600487,亨通光电,65.24,2.081,109.02亿
11,sh603986,兆易创新,371.32,-2.449,107.86亿
12,sz000636,风华高科,55.99,10.0,99.85亿
13,sz300408,三环集团,124.36,5.658,93.01亿
14,sz300750,宁德时代,330.51,-2.233,91.44亿
15,sh600522,中天科技,34.49,3.574,89.84亿
16,sh600869,远东股份,25.35,5.187,87.87亿
17,sz002636,金安国纪,82.46,7.861,87.19亿
18,sh600105,永鼎股份,42.2,4.507,86.54亿
19,sh601869,长飞光纤,473.99,8.778,84.48亿
20,sh603083,剑桥科技,224.46,-4.253,76.13亿
