序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300149,睿智医药,12.42,20.0,2.07,706432,8.35 亿,20.29,12.42,10.32,10.43,10.35,14.89,654.12,4.93,重组蛋白
2,920982,锦波生物,170.2,13.43,20.15,20994,3.41 亿,12.92,170.99,151.6,152.19,150.05,3.82,30.08,10.34,重组蛋白
3,300683,海特生物,48.78,12.5,5.42,287141,13.23 亿,17.16,49.88,42.44,43.87,43.36,23.52,-30.29,2.86,重组蛋白
4,301080,百普赛斯,49.13,12.22,5.35,127953,6.13 亿,16.42,50.97,43.78,43.99,43.78,10.16,46.52,3.12,重组蛋白
5,688062,迈威生物-U,39.15,8.72,3.14,146024,5.60 亿,8.47,39.58,36.53,36.53,36.01,7.15,-16.14,44.76,重组蛋白
6,688222,成都先导,27.85,8.03,2.07,369478,9.95 亿,10.28,28.0,25.35,25.78,25.78,9.22,97.87,7.49,重组蛋白
7,688520,神州细胞,43.14,6.99,2.82,63392,2.69 亿,7.27,43.43,40.5,41.08,40.32,1.42,-34.72,139.16,重组蛋白
8,920575,康乐卫士,7.86,6.94,0.51,76477,5880.56 万,9.52,8.05,7.35,7.46,7.35,4.07,-7.16,9.03,重组蛋白
9,600645,中源协和,32.94,6.6,2.04,318728,10.26 亿,5.95,32.94,31.1,31.39,30.9,6.81,107.14,4.15,重组蛋白
10,688687,凯因科技,21.22,5.84,1.17,68581,1.43 亿,5.74,21.35,20.2,20.43,20.05,4.01,122.42,2.1,重组蛋白
11,688137,近岸蛋白,42.73,5.56,2.25,10084,4257.14 万,5.88,42.98,40.6,40.81,40.48,1.44,-39.36,1.46,重组蛋白
12,688336,三生国健,79.69,5.44,4.11,170979,13.29 亿,13.05,82.88,73.02,76.72,75.58,2.77,16.99,5.83,重组蛋白
13,300485,赛升药业,11.36,5.09,0.55,154359,1.74 亿,5.83,11.45,10.82,10.95,10.81,5.64,375.52,1.62,重组蛋白
14,688765,禾元生物-U,67.41,4.87,3.13,19771,1.32 亿,5.04,68.19,64.95,65.3,64.28,4.82,-152.58,8.32,重组蛋白
15,920047,诺思兰德,25.25,4.34,1.05,40182,9998.80 万,3.97,25.26,24.3,24.38,24.2,2.23,-128.91,25.0,重组蛋白
