排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,重组蛋白,BK1063,1119.74,74.41,7.12,2670.13 亿,5.46,19,0,睿智医药,20.0
2,CRO,BK0899,1973.29,116.05,6.25,7607.77 亿,4.5,35,2,睿智医药,20.0
3,CAR-T细胞疗法,BK0986,1270.98,66.54,5.52,5965.00 亿,3.56,23,1,睿智医药,20.0
4,创新药,BK1106,1561.2,77.69,5.24,36897.73 亿,3.14,165,1,润都股份,10.02
5,CPO概念,BK1128,6441.29,309.04,5.04,33637.97 亿,4.66,40,5,铭普光磁,10.02
