序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3948.5521,56.692,1.457,3891.8605,3939.5658,3955.943,3929.9213,564611598.0,897278213909,8972.78 亿
2,sz399001,深证成指,13706.52,228.464,1.695,13478.056,13731.387,13740.975,13603.785,65413025986.0,1115173056536,11151.73 亿
3,Total,沪深总成交额,,,,,,,,,2012451270445,20124.51 亿
