序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,301312,智立方,103.2,20.0,17.2,109256,10.71 亿,16.64,103.2,88.89,89.93,86.0,18.04,134.08,10.15,CPO概念
2,300964,本川智能,71.52,14.47,9.04,152162,10.99 亿,15.97,74.98,65.0,65.71,62.48,27.17,123.78,5.39,CPO概念
3,688025,杰普特,241.0,12.88,27.5,92554,21.35 亿,9.93,243.2,222.0,224.0,213.5,9.74,82.17,9.97,CPO概念
4,688167,炬光科技,366.0,12.62,41.01,81634,28.50 亿,10.58,369.0,334.62,340.0,324.99,9.08,-789.8,14.78,CPO概念
5,300394,天孚通信,333.33,10.52,31.73,421999,136.80 亿,7.29,334.88,312.89,316.67,301.6,5.44,132.63,53.12,CPO概念
6,002579,中京电子,12.29,10.03,1.12,456419,5.52 亿,7.79,12.29,11.42,11.44,11.17,7.82,220.48,3.11,CPO概念
7,002902,铭普光磁,28.78,10.02,2.62,160144,4.61 亿,0.11,28.78,28.75,28.75,26.16,9.02,-33.91,8.01,CPO概念
8,600105,永鼎股份,30.51,9.99,2.77,2354132,69.73 亿,7.25,30.51,28.5,28.5,27.74,16.1,101.65,13.52,CPO概念
9,603803,瑞斯康达,13.68,9.97,1.24,851544,11.55 亿,4.98,13.68,13.06,13.06,12.44,20.04,-92.58,3.7,CPO概念
10,688205,德科立,202.0,9.78,18.0,131030,25.54 亿,7.29,202.0,188.59,193.0,184.0,8.28,446.83,13.79,CPO概念
11,603306,华懋科技,81.64,7.99,6.04,148720,12.03 亿,5.6,82.78,78.55,78.9,75.6,4.51,116.96,8.67,CPO概念
12,688313,仕佳光子,88.88,6.84,5.69,421029,36.62 亿,5.96,88.97,84.01,86.5,83.19,9.32,117.59,26.45,CPO概念
13,301205,联特科技,222.78,6.76,14.1,116836,25.56 亿,6.6,224.88,211.1,218.0,208.68,14.01,265.03,18.22,CPO概念
14,300814,中富电路,85.59,6.55,5.26,85996,7.26 亿,4.83,86.0,82.12,83.19,80.33,4.49,441.17,9.97,CPO概念
15,301165,锐捷网络,81.55,6.52,4.99,91732,7.42 亿,5.49,82.7,78.5,78.58,76.56,1.15,93.16,13.0,CPO概念
