序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
4,凯莱英,002821,2.0,2天2板,10.002708435058594,121.85,22.37 亿,386.32 亿,439.73 亿,6.033252239227295,153758493.0,103206,103351,1,医疗服务,,,
7,铭普光磁,002902,1.0,6天3板,10.015290260314941,28.78,4.61 亿,51.12 亿,67.64 亿,9.015470504760742,320514226.0,093000,093000,0,通信设备,,,
9,瑞斯康达,603803,1.0,首板,9.967845916748047,13.68,11.55 亿,58.12 亿,58.12 亿,20.041812896728516,29019384.0,093219,133007,5,通信设备,,,
17,中京电子,002579,1.0,首板,10.02685832977295,12.29,5.52 亿,71.70 亿,75.29 亿,7.823275566101074,74998004.0,093733,093918,1,元件,,,
34,睿智医药,300149,1.0,首板,20.0,12.42,8.35 亿,58.94 亿,61.85 亿,14.886271476745605,101179231.0,101506,101506,0,医疗服务,,,
43,广生堂,300436,1.0,首板,20.002016067504883,119.03,17.75 亿,162.74 亿,189.58 亿,11.763447761535645,147247132.0,110030,110030,0,化学制药,,,
47,艾迪药业,688488,1.0,首板,20.0,17.82,4.85 亿,74.98 亿,74.98 亿,6.800871849060059,28570485.0,131157,142724,1,生物制品,,,
50,智立方,301312,1.0,首板,20.0,103.2,10.71 亿,62.49 亿,125.06 亿,18.043115615844727,68354623.0,132521,132521,0,自动化设,,,
53,永鼎股份,600105,1.0,首板,9.985580444335938,30.51,69.73 亿,446.05 亿,446.05 亿,16.102191925048828,314460468.0,134150,134150,0,通信设备,,,
13,本川智能,300964,0.0,0天0板,14.468629837036133,71.52,10.99 亿,40.06 亿,54.59 亿,27.16696548461914,,093609,,1,元件,74.98,0.0,15.973112106323242
37,汇宇制药-W,688553,0.0,0天0板,17.904191970825195,19.69,4.32 亿,67.64 亿,83.41 亿,6.58933162689209,,132255,,1,化学制药,20.04,0.0,19.640718460083008
