序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300149,睿智医药,12.42,20.0,2.07,706432.0,8.35 亿,20.29,12.42,10.32,10.43,10.35,14.89,654.12,4.93,CRO
2,301201,诚达药业,59.61,15.3,7.91,260066.0,14.84 亿,17.5,61.26,52.21,52.9,51.7,23.96,412.37,4.33,CRO
3,300683,海特生物,48.78,12.5,5.42,287141.0,13.23 亿,17.16,49.88,42.44,43.87,43.36,23.52,-30.29,2.86,CRO
4,688073,毕得医药,60.98,10.07,5.58,30714.0,1.84 亿,13.9,62.91,55.21,56.0,55.4,7.1,36.41,2.71,CRO
5,002821,凯莱英,121.85,10.0,11.08,191281.0,22.37 亿,8.49,121.85,112.45,114.61,110.77,6.03,38.83,2.49,CRO
6,688046,药康生物,15.73,8.63,1.25,97847.0,1.52 亿,9.94,16.06,14.62,14.65,14.48,2.39,44.66,2.89,CRO
7,300759,康龙化成,30.38,8.58,2.4,797295.0,23.55 亿,9.36,30.65,28.03,28.5,27.98,5.61,33.55,3.59,CRO
8,603127,昭衍新药,36.96,8.07,2.76,623739.0,22.06 亿,13.48,37.61,33.0,34.24,34.2,9.9,92.99,3.33,CRO
9,688222,成都先导,27.85,8.03,2.07,369478.0,9.95 亿,10.28,28.0,25.35,25.78,25.78,9.22,97.87,7.49,CRO
10,301509,金凯生科,43.99,7.85,3.2,139090.0,6.02 亿,8.38,44.8,41.38,41.46,40.79,24.51,38.42,2.4,CRO
11,301230,泓博医药,43.79,7.83,3.18,226509.0,9.51 亿,10.61,43.83,39.52,40.21,40.61,18.03,131.93,5.96,CRO
12,688238,和元生物,7.23,7.75,0.52,186395.0,1.32 亿,7.15,7.23,6.75,6.8,6.71,2.91,-21.26,3.2,CRO
13,688621,阳光诺和,68.78,7.17,4.6,48346.0,3.27 亿,8.55,69.77,64.28,65.89,64.18,4.32,39.29,6.37,CRO
14,300363,博腾股份,22.49,7.1,1.49,237964.0,5.23 亿,7.19,22.52,21.01,21.27,21.0,4.77,114.7,2.3,CRO
15,920017,星昊医药,17.8,6.27,1.05,45770.0,8065.41 万,7.34,17.98,16.75,16.87,16.75,3.71,20.97,1.34,CRO
