序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3864.2794,-21.053,-0.542,3885.3328,3879.7262,3891.6203,3858.1504,440907766.0,763982900036,7639.83亿
2,sz399001,深证成指,13287.974,-96.594,-0.722,13384.568,13362.175,13484.001,13273.313,53071450538.0,848733889795,8487.34亿
3,Total,沪深总成交额,,,,,,,,,1612716789831,16127.17亿
