序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,846.0,2.545,212.22 亿
2,sz300476,胜宏科技,333.87,6.647,204.52 亿
3,sh601138,工业富联,66.26,-2.845,185.04 亿
4,sz002384,东山精密,184.25,0.19,166.51 亿
5,sz300750,宁德时代,445.0,4.052,164.73 亿
6,sz300274,阳光电源,138.07,6.298,155.51 亿
7,sz300502,新易盛,537.0,0.288,148.43 亿
8,sz002475,立讯精密,68.64,-1.774,143.42 亿
9,sh603986,兆易创新,308.89,0.452,127.88 亿
10,sh688256,寒武纪,1416.63,3.065,126.80 亿
11,sh603259,药明康德,111.18,0.552,115.99 亿
12,sz002594,比亚迪,105.4,3.863,110.22 亿
13,sz002709,天赐材料,59.32,9.994,103.01 亿
14,sh601899,紫金矿业,34.14,3.612,101.86 亿
15,sh688041,海光信息,278.77,-3.54,98.89 亿
16,sz300390,天华新能,110.5,18.83,98.77 亿
17,sz000988,华工科技,119.04,2.985,98.70 亿
18,sh600036,招商银行,38.5,-2.778,97.81 亿
19,sz300857,协创数据,271.77,4.126,94.87 亿
20,sh601318,中国平安,59.43,3.123,94.82 亿
