序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1130.0,-2.684,309.68 亿
2,sz002384,东山精密,191.75,-9.998,267.25 亿
3,sh603986,兆易创新,468.0,0.212,246.76 亿
4,sh600584,长电科技,75.65,-7.8,231.74 亿
5,sh601138,工业富联,73.75,0.477,224.39 亿
6,sz300502,新易盛,679.82,-3.77,203.85 亿
7,sz300394,天孚通信,428.88,-5.782,194.28 亿
8,sz000725,京东方Ａ,5.36,4.892,182.97 亿
9,sh600487,亨通光电,75.56,-2.023,182.19 亿
10,sz300476,胜宏科技,342.35,-7.101,176.24 亿
11,sh688008,澜起科技,232.3,-8.182,173.09 亿
12,sh688256,寒武纪,1238.0,-5.496,172.01 亿
13,sz002475,立讯精密,70.71,-3.52,167.89 亿
14,sz300750,宁德时代,420.1,-0.92,165.54 亿
15,sh600183,生益科技,135.63,-3.549,160.27 亿
16,sz000636,风华高科,55.05,3.809,141.08 亿
17,sh688981,中芯国际,132.44,-5.339,136.45 亿
18,sz002185,华天科技,18.43,-4.705,129.19 亿
19,sz300274,阳光电源,174.0,-2.242,127.78 亿
20,sz000988,华工科技,143.07,-5.825,125.63 亿
