序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,886.96,2.589,299.59亿
2,sz300502,新易盛,415.3,3.929,199.77亿
3,sh603986,兆易创新,402.29,-0.184,177.21亿
4,sz002384,东山精密,193.87,4.265,175.89亿
5,sz000636,风华高科,65.85,6.726,172.93亿
6,sz300285,国瓷材料,72.88,-4.244,155.19亿
7,sh601899,紫金矿业,33.18,-6.403,152.99亿
8,sh603259,药明康德,160.21,-0.7,149.39亿
9,sh688256,寒武纪,1090.64,-2.968,147.51亿
10,sh688825,长鑫科技,50.4,-1.754,143.99亿
11,sz301308,江波龙,417.5,1.212,123.26亿
12,sz300408,三环集团,130.05,2.482,119.11亿
13,sz300476,胜宏科技,274.53,-4.01,118.19亿
14,sh688012,中微公司,363.1,-6.895,114.12亿
15,sh600487,亨通光电,57.62,-3.355,110.52亿
16,sh600176,中国巨石,42.69,-1.363,107.55亿
17,sh600584,长电科技,77.67,-1.083,102.84亿
18,sz300274,阳光电源,120.07,5.593,100.95亿
19,sz002281,光迅科技,184.07,3.236,97.99亿
20,sz002428,云南锗业,100.28,-2.242,94.27亿
