序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,罗欣药业,002793,0天0板,6.597938537597656,5.17,5.34,4.57亿,56.14亿,56.23亿,8.115217208862305,0.0,093215,2,11.134020805358887,化学制药
2,亚辉龙,688575,0天0板,13.263158798217773,10.76,11.4,6.05亿,61.48亿,61.48亿,9.564740180969238,0.0,093502,1,10.947368621826172,医疗器械
3,津药药业,600488,0天0板,5.947955131530762,5.7,5.92,7.79亿,62.24亿,62.24亿,12.432472229003906,0.0,093621,2,11.152416229248047,化学制药
4,安记食品,603696,0天0板,6.5859198570251465,14.08,14.53,3.95亿,33.12亿,33.12亿,11.90025520324707,0.0,094111,2,10.825132369995117,调味发酵
5,誉衡药业,002437,0天0板,6.763284683227539,4.42,4.55,33.67亿,92.94亿,98.56亿,36.15475082397461,0.0,094251,2,9.661835670471191,化学制药
6,南侨食品,605339,0天0板,0.696864128112793,14.45,15.79,1.41亿,61.31亿,61.31亿,2.2149441242218018,0.0,094321,2,11.358884811401367,休闲食品
7,国盛证券,002670,0天0板,6.170598983764648,11.7,12.12,9.15亿,189.93亿,226.40亿,4.810522556304932,0.0,094615,1,10.435571670532227,证券Ⅱ
8,招金黄金,000506,0天0板,9.252845764160156,22.08,22.23,36.52亿,205.06亿,205.13亿,18.080821990966797,0.0,100539,17,10.984661102294922,贵金属
9,威马农机,301533,0天0板,11.597373962402344,30.6,32.9,2.82亿,8.74亿,30.08亿,31.92570686340332,0.0,102251,2,20.75127601623535,专用设备
10,智慧农业,000816,0天0板,6.6666669845581055,3.04,3.14,3.24亿,43.76亿,43.99亿,7.418510913848877,0.0,102254,1,11.228070259094238,汽车零部
11,云南锗业,002428,0天0板,8.441211700439453,101.36,102.82,84.58亿,661.89亿,662.00亿,13.116181373596191,0.0,105051,1,9.864128112792969,小金属
12,泰晶科技,603738,0天0板,8.45142936706543,42.09,42.69,27.56亿,162.42亿,162.42亿,17.317594528198242,0.0,110157,1,10.280856132507324,元件
13,宝鼎科技,002552,0天0板,7.899807453155518,56.0,57.09,28.31亿,206.36亿,217.27亿,14.078824043273926,0.0,111945,3,13.217726707458496,元件
14,生益科技,600183,0天0板,8.430121421813965,140.97,143.01,143.14亿,3399.84亿,3424.17亿,4.278006553649902,0.0,112716,1,7.645565986633301,元件
15,博杰股份,002975,0天0板,7.149231433868408,108.06,110.94,27.63亿,149.41亿,224.91亿,18.815095901489258,0.0,112900,1,12.622706413269043,自动化设
16,长青科技,001324,0天0板,4.366576671600342,19.36,20.41,2.77亿,26.72亿,26.72亿,10.143056869506836,0.0,130103,1,10.781671524047852,轨交设备
17,新凤鸣,603225,0天0板,8.617021560668945,20.42,20.68,5.57亿,340.72亿,342.54亿,1.675044298171997,0.0,133155,1,10.638298034667969,化学纤维
