序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,866.12,1.789,227.80亿
2,sh600487,亨通光电,71.3,9.98,191.24亿
3,sh688825,长鑫科技,59.12,5.383,188.39亿
4,sh603986,兆易创新,411.2,4.764,165.43亿
5,sz300502,新易盛,409.1,2.588,148.74亿
6,sh688008,澜起科技,221.22,10.06,144.63亿
7,sh600183,生益科技,140.97,8.43,143.14亿
8,sz300274,阳光电源,98.84,-12.236,141.33亿
9,sz300394,天孚通信,267.16,5.355,138.29亿
10,sh600522,中天科技,36.08,7.992,117.83亿
11,sz002384,东山精密,200.6,3.211,115.62亿
12,sz300476,胜宏科技,263.05,5.456,102.08亿
13,sh600176,中国巨石,42.64,7.949,98.27亿
14,sh688256,寒武纪,1048.0,2.745,95.33亿
15,sh601138,工业富联,63.86,5.432,94.32亿
16,sz001309,德明利,429.76,10.0,87.62亿
17,sz300750,宁德时代,373.0,-1.583,87.01亿
18,sz002428,云南锗业,101.36,8.441,84.58亿
19,sh601899,紫金矿业,34.57,0.29,79.87亿
20,sz000725,京东方Ａ,5.94,3.846,79.76亿
