序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh688256,DR寒武纪,1182.53,-5.6,225.79 亿
2,sz300476,胜宏科技,358.66,6.094,200.51 亿
3,sz002384,东山精密,211.39,0.152,187.77 亿
4,sz300308,中际旭创,886.0,0.972,174.07 亿
5,sz300502,新易盛,551.67,-2.099,164.88 亿
6,sh688041,海光信息,323.28,-5.363,162.43 亿
7,sz300750,宁德时代,437.0,-3.242,162.24 亿
8,sz000066,中国长城,23.09,-3.711,154.40 亿
9,sz002475,立讯精密,71.29,2.546,151.67 亿
10,sh603986,兆易创新,334.1,-4.586,148.21 亿
11,sz002050,三花智控,51.69,2.723,141.99 亿
12,sz000988,华工科技,136.69,2.39,140.27 亿
13,sz002281,光迅科技,180.72,10.001,137.62 亿
14,sz300058,蓝色光标,18.69,-3.161,134.41 亿
15,sh688008,澜起科技,210.27,0.172,130.03 亿
16,sh600487,亨通光电,77.27,1.725,126.66 亿
17,sh600522,中天科技,40.9,6.566,124.49 亿
18,sz300394,天孚通信,326.3,-0.561,116.91 亿
19,sz002709,天赐材料,58.41,-6.99,105.77 亿
20,sh601899,紫金矿业,34.8,0.987,103.71 亿
