序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000020,深华发Ａ,9.995285034179688,23.33,1.23 亿,42.27 亿,66.06 亿,2.9056649208068848,534122642,092500,092500,0,5/5,5,光学光电
2,000677,恒天海龙,9.933774948120117,4.98,2.92 亿,43.03 亿,43.03 亿,6.798044204711914,31334508,092500,092500,0,1/1,1,化学纤维
3,603687,大胜达,10.024651527404785,13.39,6213.25 万,73.65 亿,73.65 亿,0.8436270952224731,364491626,092502,092502,0,3/3,3,包装印刷
4,002428,云南锗业,9.997468948364258,43.46,8.41 亿,283.81 亿,283.85 亿,2.9618210792541504,580549501,093000,093000,0,1/1,1,小金属
5,000601,韶能股份,10.0,8.14,10.19 亿,85.43 亿,86.64 亿,11.950495719909668,292933943,093030,093030,0,3/3,3,电力
6,603538,美诺华,9.996048927307129,27.84,8.47 亿,60.19 亿,61.37 亿,14.219937324523926,69904736,093150,133735,1,1/1,1,化学制药
7,002256,兆新股份,10.049019813537598,4.49,12.34 亿,87.60 亿,89.53 亿,14.200478553771973,85069488,093151,101821,2,4/2,1,电力
8,002310,东方新能,10.126582145690918,3.48,26.29 亿,146.13 亿,208.78 亿,18.282546997070312,78182219,093212,111657,3,5/3,2,电力
9,600396,华电辽能,10.017574310302734,6.26,24.16 亿,92.19 亿,92.19 亿,26.735151290893555,87942514,093326,134017,8,11/6,5,电力
10,600726,华电能源,9.960159301757812,5.52,29.63 亿,412.64 亿,436.48 亿,7.358802318572998,9942425,093416,145504,6,9/6,2,电力
11,002309,中利集团,10.115607261657715,3.81,7.94 亿,91.67 亿,114.59 亿,8.807577133178711,108569885,093515,093515,0,1/1,1,光伏设备
12,600617,国新能源,9.91735553741455,3.99,6.92 亿,70.84 亿,76.97 亿,9.982000350952148,58634630,093658,094040,1,2/2,2,燃气Ⅱ
13,002150,正泰电源,9.996846199035645,34.88,10.30 亿,125.06 亿,125.87 亿,8.368118286132812,169052582,093718,095633,1,8/4,1,通用设备
14,603026,石大胜华,10.007294654846191,75.41,14.04 亿,175.48 亿,175.48 亿,8.092650413513184,48464423,093814,101550,2,1/1,1,电池
15,600310,广西能源,9.909910202026367,4.88,11.12 亿,71.53 亿,71.53 亿,15.83060073852539,7339422,094128,145543,8,1/1,1,电力
16,600683,京投发展,10.030394554138184,10.86,5.19 亿,80.45 亿,80.45 亿,6.684943199157715,74928341,094230,095251,1,6/4,1,房地产开
17,605050,福然德,9.984756469726562,14.43,7.52 亿,71.12 亿,71.12 亿,10.693928718566895,1012986,094734,150000,9,1/1,1,物流
18,000509,华塑控股,9.927360534667969,4.54,3.48 亿,48.72 亿,48.72 亿,7.358974933624268,101487977,095618,095618,0,1/1,1,光学光电
19,603165,荣晟环保,10.0,14.96,4.45 亿,45.10 亿,45.10 亿,10.088273048400879,24004995,100718,144830,1,1/1,1,造纸
20,300827,上能电气,20.005342483520508,44.93,57.79 亿,173.09 亿,250.12 亿,34.83086013793945,61171296,102403,145542,5,1/1,1,光伏设备
21,605099,共创草坪,9.997410774230957,42.47,2.83 亿,170.49 亿,170.96 亿,1.7128485441207886,28382701,103318,141639,1,1/1,1,家居用品
22,605299,舒华体育,10.0,15.29,5.40 亿,62.57 亿,62.57 亿,9.002057075500488,34809214,103335,103335,0,1/1,1,文娱用品
23,000862,银星能源,10.03911304473877,8.44,11.33 亿,53.00 亿,77.48 亿,22.394084930419922,71505756,110645,110645,0,1/1,1,电力
24,301658,首航新能,20.003976821899414,60.35,12.73 亿,24.89 亿,248.87 亿,56.05266571044922,177858390,111654,111654,0,1/1,1,光伏设备
25,603778,国晟科技,9.99545669555664,24.21,34.63 亿,155.64 亿,158.97 亿,23.422576904296875,44772763,111733,144533,8,8/4,1,光伏设备
26,001283,豪鹏科技,10.0,67.21,7.17 亿,53.60 亿,67.17 亿,13.624370574951172,8143029,130012,145527,9,1/1,1,电池
27,603381,永臻股份,10.019493103027344,28.22,6.31 亿,40.11 亿,66.95 亿,16.20612907409668,12212910,130022,142649,1,1/1,1,光伏设备
28,600604,市北高新,10.038609504699707,5.7,4.25 亿,80.22 亿,106.78 亿,5.435385227203369,20307783,131900,132412,2,1/1,1,房地产开
