序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,002902,铭普光磁,2.462437391281128,24.55,26.36,22.21 亿,43.61 亿,57.69 亿,48.6580810546875,0.0,092500,4,2/1,8.180299758911133,通信设备
2,603803,瑞斯康达,-4.4604315757751465,13.28,15.29,17.60 亿,56.42 亿,56.42 亿,28.927955627441406,0.15082956850528717,092502,1,0/0,15.035970687866211,通信设备
3,000791,甘肃能源,3.532277822494507,8.5,9.03,12.49 亿,164.53 亿,275.73 亿,7.4276580810546875,-0.23474179208278656,093200,1,0/0,10.231425285339355,电力
4,000966,长源电力,5.102040767669678,5.15,5.39,14.72 亿,167.97 亿,179.27 亿,8.621500015258789,0.0,093324,2,0/0,10.816327095031738,电力
5,601133,柏诚股份,5.954573154449463,17.26,17.92,9.06 亿,25.78 亿,91.14 亿,34.303428649902344,-0.11574073880910873,093650,2,0/0,10.251688003540039,专业工程
6,300040,九洲集团,13.14791488647461,8.95,9.49,25.09 亿,46.31 亿,57.59 亿,53.05686569213867,0.0,093721,2,0/0,21.238937377929688,电力
7,600152,维科技术,-2.365591287612915,9.08,10.23,10.28 亿,48.04 亿,48.04 亿,20.24146270751953,-0.11001100391149521,093931,1,0/0,13.118278503417969,电池
8,688307,中润光学,9.02479362487793,65.96,72.6,10.92 亿,58.56 亿,58.56 亿,17.648120880126953,0.0,094338,1,0/0,19.173553466796875,计算机设
9,001267,汇绿生态,4.733872890472412,42.7,44.85,35.68 亿,258.83 亿,335.27 亿,13.437335014343262,0.7075471878051758,094339,1,0/0,6.352709770202637,基础建设
10,600121,郑州煤电,5.165289402008057,5.09,5.32,10.66 亿,62.02 亿,62.02 亿,17.1246395111084,0.0,095148,1,0/0,13.223139762878418,煤炭开采
11,300782,卓胜微,13.87137508392334,90.3,95.16,60.76 亿,404.77 亿,483.05 亿,14.70468521118164,0.0,095733,7,0/0,17.540983200073242,半导体
12,688498,源杰科技,17.367368698120117,1114.99,1140.0,67.84 亿,945.94 亿,958.31 亿,7.26262092590332,0.0,100157,4,0/0,16.0,半导体
13,003031,中瓷电子,5.751513481140137,80.35,83.58,16.79 亿,273.32 亿,362.42 亿,6.030627727508545,-0.037322718650102615,100245,3,0/0,8.449591636657715,通信设备
14,000670,盈方微,9.962639808654785,8.83,8.83,17.24 亿,72.57 亿,74.59 亿,24.22357177734375,0.0,101703,3,0/0,11.457036018371582,其他电子
15,002328,新朋股份,4.066265106201172,6.91,7.3,6.60 亿,39.44 亿,53.33 亿,16.384241104125977,-0.14450865983963013,104324,2,0/0,11.295180320739746,汽车零部
16,603659,璞泰来,7.9972662925720215,31.6,32.19,37.96 亿,675.10 亿,675.10 亿,5.638607978820801,0.3174603283405304,104636,2,0/0,9.671907424926758,电池
17,605117,德业股份,9.913288116455078,140.7,140.81,46.78 亿,1278.79 亿,1278.79 亿,3.7265641689300537,1.8531924486160278,111527,15,0/0,9.616436004638672,光伏设备
18,688717,艾罗能源,9.974034309387207,144.0,157.13,21.14 亿,142.63 亿,230.40 亿,14.82955551147461,0.0,112612,1,0/0,21.62822723388672,光伏设备
19,002865,钧达股份,2.2310662269592285,84.77,91.21,21.31 亿,190.62 亿,263.86 亿,11.065786361694336,-0.011795234866440296,130021,1,0/0,13.820549964904785,光伏设备
20,300724,捷佳伟创,9.406779289245605,129.1,141.6,69.63 亿,371.44 亿,449.64 亿,18.890348434448242,0.0,130033,1,0/0,21.04237174987793,光伏设备
21,603876,鼎胜新材,5.090137958526611,19.82,20.75,9.19 亿,184.18 亿,184.18 亿,4.948245525360107,0.0,130656,1,0/0,11.399787902832031,工业金属
22,002460,赣锋锂业,6.289407730102539,67.43,69.78,59.06 亿,816.83 亿,1413.80 亿,7.258319854736328,-0.029651593416929245,131036,1,0/0,10.277427673339844,能源金属
23,002756,永兴材料,5.805564880371094,61.6,64.04,16.79 亿,239.46 亿,332.09 亿,7.018117904663086,0.19518542289733887,131109,1,0/0,9.841978073120117,能源金属
